method,seed,best_val_nrmse,best_epoch,time_to_best_sec,final_test_nrmse
n4sid_init,0,0.024876618898190473,5,7.2919022499991115,0.12612895925291887
random_init,0,0.5966573701144086,5,6.8248379160068,0.6706713734627455
n4sid_init,1,0.025899198228966688,5,6.980281916999957,0.12507303388190424
random_init,1,0.19336898056418847,5,6.862488207989372,0.304375877763134
n4sid_init,2,0.024784880958271808,5,6.801885249995394,0.12002320285880924
random_init,2,0.34092885528832767,5,6.832209082989721,0.4604376598589429
n4sid_init,3,0.030176842307518572,5,7.0365488750103395,0.12511820914943356
random_init,3,0.6749039277053046,4,5.680474291992141,0.7329585340676219
n4sid_init,4,0.025229648019397977,4,5.498019791004481,0.12883630384909356
random_init,4,0.29523442761374014,5,6.6583113340020645,0.37808679337605217
