method,seed,epoch,training_loss,validation_loss,validation_nrmse,wall_time_sec
n4sid_init,0,0,nan,0.003379586115647843,0.07224592393852747,0.7648844169743825
n4sid_init,0,1,0.10457238825634121,0.00597735575382703,0.09608069686099563,2.0651954589993693
n4sid_init,0,2,0.006689267575740814,0.004820532454254399,0.0862837668127721,3.367908833984984
n4sid_init,0,3,0.0022643209743313493,0.0019457849716655168,0.05481873516445802,4.711794374976307
n4sid_init,0,4,0.0007934685319196433,0.0005480642209949513,0.02909359029316794,6.02601279199007
n4sid_init,0,5,0.0003821579985320568,0.0004007001653008965,0.024876618898190473,7.2919022499991115
random_init,0,0,nan,0.7312158128069262,1.062684578128884,0.7355295410088729
random_init,0,1,0.5559420520305633,0.6236232410713394,0.9813925101438808,1.9681326660211198
random_init,0,2,0.4514809546947479,0.37191412368003507,0.757884328756552,3.1943682499986608
random_init,0,3,0.2723161509752274,0.2801529545472037,0.657777771566681,4.404369666008279
random_init,0,4,0.24477379975318908,0.2639447927803069,0.6384665383446458,5.610327583010076
random_init,0,5,0.22429893593788147,0.23050844354944244,0.5966573701144086,6.8248379160068
n4sid_init,1,0,nan,0.003379586115647843,0.07224592393852747,0.7031545829959214
n4sid_init,1,1,0.04788324593156576,0.006092341605732578,0.09700044236388634,1.909912249975605
n4sid_init,1,2,0.0030687112977728246,0.001227142296367987,0.043534047674635194,3.111736957973335
n4sid_init,1,3,0.0007842372165992856,0.0005898795340233785,0.03018305931650171,4.428375999996206
n4sid_init,1,4,0.0005165728019550442,0.00044076979425973517,0.026090806428756795,5.721330624975963
n4sid_init,1,5,0.0004922248128335923,0.000434319623804356,0.025899198228966688,6.980281916999957
random_init,1,0,nan,0.858161406966848,1.1512405579173928,0.7094882909732405
random_init,1,1,0.5384408435821533,0.5027371801344894,0.8811545612051371,1.9258618749736343
random_init,1,2,0.299409895658493,0.23802212222924488,0.6063037461532983,3.146538374974625
random_init,1,3,0.15541278113126755,0.1107212979015034,0.4135206247195634,4.37103133299388
random_init,1,4,0.042307774847745894,0.028201863755215304,0.20869906197137764,5.623241749999579
random_init,1,5,0.02452815633714199,0.024210872251734947,0.19336898056418847,6.862488207989372
n4sid_init,2,0,nan,0.003379586115647843,0.07224592393852747,0.7087435419962276
n4sid_init,2,1,0.023690580202266574,0.0032393243548778897,0.07073083903041047,1.918399916990893
n4sid_init,2,2,0.002020203277468681,0.001068076324822961,0.0406146518244337,3.1323127500072587
n4sid_init,2,3,0.0007312613850459456,0.0009525523864467168,0.03835535673253674,4.341315083991503
n4sid_init,2,4,0.0004177761198487133,0.0005673382563263279,0.029600743918008703,5.5844661250011995
n4sid_init,2,5,0.0003074749387800693,0.0003977502800473723,0.024784880958271808,6.801885249995394
random_init,2,0,nan,0.6541426303744641,1.0051197738933106,0.7055835409846622
random_init,2,1,0.547934557056427,0.6276596056096314,0.9845633894753988,1.9616269999823999
random_init,2,2,0.4100181500434876,0.3284031358626428,0.7121725650855123,3.210858290985925
random_init,2,3,0.2542148509979248,0.28689541224096415,0.6656461042105823,4.415682040998945
random_init,2,4,0.19639591462612152,0.17475394947957948,0.5195114124236214,5.6215871659806
random_init,2,5,0.1296768366932869,0.0752600209858788,0.34092885528832767,6.832209082989721
n4sid_init,3,0,nan,0.003379586115647843,0.07224592393852747,0.7790575830149464
n4sid_init,3,1,0.026610116554796694,0.0022242801151810617,0.0586106221610151,1.9973372500098776
n4sid_init,3,2,0.0028823806066066025,0.001502891906336337,0.048177633397099934,3.3116477910079993
n4sid_init,3,3,0.0011785487544722856,0.0009435234451454244,0.03817314473844312,4.5910555830050725
n4sid_init,3,4,0.000639092698553577,0.0009966254622155355,0.03923264445868871,5.842431124998257
n4sid_init,3,5,0.00046613955930806695,0.0005896365578199952,0.030176842307518572,7.0365488750103395
random_init,3,0,nan,0.6649256662097185,1.0133702360958374,0.704993999999715
random_init,3,1,0.5496967832565307,0.6394899505435211,0.9937987663234401,1.9269030840077903
random_init,3,2,0.4780520516395569,0.5367360029867376,0.9104622762149808,3.2620808749925345
random_init,3,3,0.33331612224578855,0.3099406779342174,0.6918642336573878,4.486549624998588
random_init,3,4,0.25912586598396303,0.29493120716034965,0.6749039277053046,5.680474291992141
random_init,3,5,0.24235550656318663,0.3046788547228303,0.6859662500918368,6.872526541992556
n4sid_init,4,0,nan,0.003379586115647843,0.07224592393852747,0.6916958750225604
n4sid_init,4,1,0.023577983185648917,0.00276937346927857,0.0653991875670437,1.919101875013439
n4sid_init,4,2,0.0013757759178988636,0.0009881732172257265,0.03906592637078024,3.114194750000024
n4sid_init,4,3,0.0005302574577275664,0.0005306894072935047,0.028628711407051987,4.3027132080169395
n4sid_init,4,4,0.0003921622361987829,0.00041215369002518256,0.025229648019397977,5.498019791004481
n4sid_init,4,5,0.0003293411954306066,0.0005174167643677748,0.02826843972672837,6.687312624999322
random_init,4,0,nan,0.6681507321836707,1.0158248115198694,0.6916355840221513
random_init,4,1,0.5199160002708435,0.8109097999823767,1.1190973478748132,1.8981377500167582
random_init,4,2,0.36500256900787353,0.2990932805124479,0.6796493737507027,3.0773400840116665
random_init,4,3,0.2230324805498123,0.15228787317545459,0.4849693066853779,4.2836862500116695
random_init,4,4,0.11447870866060257,0.08090332127488986,0.35347993743185835,5.472036042017862
random_init,4,5,0.05183463617563248,0.05643789732331893,0.29523442761374014,6.6583113340020645
