model,num_seeds,trainable_parameters,best_val_nrmse_mean,best_val_nrmse_std,best_epoch_mean,best_epoch_std,final_val_nrmse_mean,final_val_nrmse_std,test_nrmse_mean,test_nrmse_std,avg_training_time_per_epoch_sec_mean,avg_training_time_per_epoch_sec_std,comparison
ResDyNet,1,27273,1.1263934497160195,0.0,0.0,0.0,1.3096146642317605,0.0,1.1569650429614504,0.0,0.3432500210037688,0.0,A_same_width
Plain,1,26392,1.3513757861631766,0.0,0.0,0.0,1.41989648563885,0.0,1.0905336295849246,0.0,0.3432500210037688,0.0,A_same_width
