model,num_seeds,total_parameters,trainable_parameters,best_val_nrmse_mean,best_val_nrmse_std,best_val_nrmse_percent_mean,best_val_nrmse_percent_std,best_epoch_mean,best_epoch_std,final_val_nrmse_mean,final_val_nrmse_std,final_val_nrmse_percent_mean,final_val_nrmse_percent_std,test_nrmse_mean,test_nrmse_std,test_nrmse_percent_mean,test_nrmse_percent_std,avg_training_time_per_epoch_sec_mean,avg_training_time_per_epoch_sec_std,comparison
ResDyNet,5,18991,18991,0.13927257666494539,0.009258597526558618,13.92725766649454,0.9258597526558622,66.0,19.761072845369505,0.15737011994442066,0.012687078531261175,15.737011994442065,1.268707853126118,0.09977801044424553,0.005516663120684791,9.97780104442455,0.5516663120684788,0.07241577966802289,0.0006186443117393952,A_same_width
Plain,5,18822,18822,0.17199804984690376,0.009587873625753193,17.199804984690378,0.9587873625753192,89.8,10.59245014149229,0.19844395119588437,0.03121789923307333,19.844395119588437,3.1217899233073334,0.13716057109643903,0.02248227489460259,13.716057109643904,2.248227489460259,0.07241577966802289,0.0006186443117393952,A_same_width
ResDyNet,5,18991,18991,0.13927257666494539,0.009258597526558618,13.92725766649454,0.9258597526558622,66.0,19.761072845369505,0.15737011994442066,0.012687078531261175,15.737011994442065,1.268707853126118,0.09977801044424553,0.005516663120684791,9.97780104442455,0.5516663120684788,0.07381098775210557,0.0005721728680196679,B_parameter_matched
Plain,5,18986,18986,0.16765706179418607,0.006918332138116343,16.765706179418608,0.691833213811634,88.4,8.905054744357274,0.26267691474597576,0.022580718330733128,26.267691474597576,2.258071833073313,0.14644359201495866,0.021051432106050566,14.644359201495869,2.1051432106050565,0.07381098775210557,0.0005721728680196679,B_parameter_matched
