seed,epoch,train_rmse,train_nrmse,val_rmse,val_nrmse,wall_time_sec
0,0,9.624378854110804,1.017894022795132,4.734335061414943,1.0050244841129263,0.22478191601112485
0,1,8.694812524117859,0.9195811835528073,4.798476631880558,1.018640725450127,0.8074710410146508
0,2,7.3052557580327475,0.7726188135159674,4.923849198243871,1.0452553391596908,1.3801308750116732
0,3,6.105606430602034,0.6457414432095859,5.13073429580623,1.0891737745367849,1.943132583022816
0,4,5.145352801564357,0.5441830523584924,4.601962653560251,0.9769239147216279,2.540053416014416
0,5,4.170390604098955,0.44106905318052375,3.39915836916399,0.7215875813754022,3.126081750000594
0,6,3.287207369645375,0.3476617851364991,1.9441220772838788,0.412706380606451,3.709526666003512
0,7,2.651321644932851,0.28040920830249727,1.871289906595259,0.3972452622395397,4.284691291017225
0,8,2.1026008419189983,0.22237537214146752,1.637888551994027,0.34769784471281007,4.83917350001866
0,9,1.573247609947578,0.1663898899676389,1.4142283379245322,0.3002183173143838,5.391519791010069
0,10,1.264892040209998,0.13377757325720438,1.3850761902222875,0.2940297772501164,5.946677833009744
0,11,1.1453576310853353,0.12113536928636086,1.3385482882128947,0.28415263925560547,6.53382904099999
0,12,1.0487460972297045,0.11091753556063293,1.2842511244851116,0.2726262098296322,7.1123769160185475
0,13,0.9635169847001609,0.10190353003082138,1.2277903682505995,0.2606404839206896,7.678302750020521
0,14,0.8973427030963923,0.0949048024528367,1.1901887715251216,0.25265825941384384,8.235967125016032
0,15,0.8501083417585827,0.0899091996399065,1.1583118633256417,0.2458912957742398,8.788778750022175
0,16,0.8257972701336151,0.08733801090451822,1.1521836880899332,0.24459038105761624,9.342650500009768
0,17,0.8000560468168241,0.0846155663965898,1.1441352938162832,0.24288183419773368,9.914357875008136
0,18,0.7853113795922748,0.08305614018701561,1.1286774363210195,0.23960037543887144,10.465691332996357
0,19,0.7835653567752429,0.0828714772372231,1.1252715008640648,0.23887734918890324,11.015559332998237
0,20,0.7574475637620385,0.08010920594681291,1.109072793168886,0.23543861964537627,11.566256958001759
0,21,0.7492661386725032,0.07924392166999675,1.1038516143911197,0.23433024593723875,12.119491040997673
0,22,0.7326207284519681,0.07748346898756532,1.0929744557100902,0.2320211971161887,12.672090958018089
0,23,0.7103944868265313,0.07513277614362461,1.0741062127880083,0.22801576744910992,13.228730375005398
0,24,0.7103774413915133,0.07513097338350017,1.0508551859983477,0.22307994205837584,13.796657500002766
0,25,0.6857492564290912,0.07252624609194776,1.0415776489347763,0.22111046761683353,14.348378624999896
0,26,0.6812676920305061,0.07205226666083435,1.0327338552452523,0.21923307003615644,14.918385583005147
0,27,0.6869877480717992,0.07265723150508491,1.0240056792937917,0.21738021627336387,15.488653583015548
0,28,0.6584950722844893,0.06964378774762572,1.0080385447335882,0.21399064604524104,16.071224250015803
0,29,0.6687639998051688,0.07072985055773127,0.9958459755703224,0.2114023563753375,16.670875375013566
0,30,0.6241548185107101,0.06601189216377017,0.9549598059506292,0.2027228689718615,17.26552637500572
0,31,0.605998826046829,0.06409167720891057,0.9373774288740421,0.19899040829435408,17.833414708002238
0,32,0.580284214403552,0.061372047206086036,0.8881831544709781,0.18854724159578234,18.40111591599998
0,33,0.5477410976812784,0.05793022051816654,0.8399182531051346,0.17830136609970565,18.996753041021293
0,34,0.5169225689604849,0.054670789790038365,0.78686834822752,0.1670397100085692,19.56981166600599
0,35,0.4875755958154018,0.051566993794024525,0.7234621592715916,0.1535795785395571,20.149536125012673
0,36,0.4606345270422636,0.048717651172793766,0.677279729303733,0.14377577879758097,20.71808604101534
0,37,0.43229917571653853,0.045720846372665144,0.629232205547773,0.13357604913136142,21.30575349999708
0,38,0.4278535918287297,0.045250672314076194,0.6081700983226827,0.1291048967575577,21.866213291010354
0,39,0.4328591914649865,0.04578007478539257,0.5943065762272062,0.12616189019776636,22.41869350001798
0,40,0.39799186080541343,0.042092434470397934,0.5765508935711579,0.12239263948568545,23.0381210000196
0,41,0.39437195231368644,0.04170958553306413,0.5726017110367096,0.12155429046985441,23.637218500021845
0,42,0.38966526531784157,0.04121179667490922,0.5655055527635694,0.12004788825811172,24.352258625003742
0,43,0.3774756867454514,0.039922601875192046,0.550001647141683,0.11675665420998438,24.96398962501553
0,44,0.3725412351087894,0.039400724162056866,0.5443399653330282,0.11555476867270384,25.52117779100081
0,45,0.37517377443145034,0.03967914691348099,0.5349119256890753,0.11355334491277924,26.138930875022197
0,46,0.33974805202320085,0.035932449943301484,0.5179067232680058,0.10994340928955712,26.684181290998822
0,47,0.330292691910813,0.034932431688859615,0.5076656038181993,0.10776938154157079,27.22831762500573
0,48,0.3394197950252877,0.035897732810779855,0.5049958316504745,0.10720263111922854,27.770994582999265
0,49,0.31655954532871866,0.03347998597449411,0.49341360455804995,0.10474390742150956,28.32819854101399
0,50,0.3131124603398658,0.03311541520484683,0.49333622594066506,0.10472748116438796,28.868288166006096
0,51,0.3028969193789758,0.032034998666665,0.4819878445658237,0.10231839921543145,29.412651499995263
0,52,0.3317609882551604,0.035087721717988594,0.4816825604881825,0.10225359223226292,29.96159545800765
0,53,0.2955546084293658,0.03125846082018164,0.4710994890839558,0.10000697349058385,30.50625137501629
0,54,0.28992154953828114,0.03066269697274758,0.45141187145082634,0.09582760352659256,31.048484291008208
0,55,0.27832763995800486,0.029436501345842286,0.4409208010801022,0.09360051514979773,31.599154333001934
0,56,0.26504769624051633,0.02803198729480681,0.4266928900055786,0.09058015457071272,32.15836695799953
0,57,0.2636530358847668,0.027884485158672544,0.4146000056205107,0.08801302640321294,32.69772033300251
0,58,0.2605646045718485,0.027557846336480906,0.3989174050753437,0.08468385824802432,33.236399040994
0,59,0.2516864137739291,0.026618870691047233,0.3962525822682182,0.08411815849668834,33.7746380000026
0,60,0.25689287092166,0.027169516264226295,0.3916680292638165,0.08314493037523803,34.31223358301213
0,61,0.2383357630807755,0.025206878525424792,0.3797999087131089,0.08062551601627628,34.849706291017355
0,62,0.22991380377003284,0.02431615485664827,0.3714831196425236,0.07885999318430272,35.405213666002965
0,63,0.2174377036003865,0.02299665694587638,0.3626323383054639,0.07698111223652791,35.943268958013505
0,64,0.20691762604707187,0.021884031993847773,0.34360093400621516,0.07294104598864379,36.481156833004206
0,65,0.20122415569079205,0.02128187890610402,0.33382996258500863,0.0708668232341298,37.01829854102107
0,66,0.19496402369746643,0.020619794522840882,0.32181993429473715,0.06831728410560764,37.557316833001096
0,67,0.1906505308386447,0.020163590682061198,0.3145222663079842,0.06676810456751602,38.1035197910096
