seed,best_epoch,train_rmse,train_nrmse,val_rmse,val_nrmse,test_rmse,test_nrmse,eig_A_f,eig_A_true,matched_eig_mean_abs_error,spectral_radius_A_f,A_f_stable,fro_Af_minus_Atrue_coordinate_dependent,T_cond,affine_calibration_nrmse,affine_test_nrmse,similarity_A_error,similarity_B_error
0,79,0.14362241583330437,0.015189800903740938,0.23260834920681972,0.04937907501884221,0.17241514389681944,0.019133042887153184,+0.711502+0j; +0.522529+0j; -0.000999678+0j,+0.7+0j; +0.5+0j; +0.3+0j,0.11167697058467269,0.711502145826437,True,1.2663096907940548,45.898195305052916,0.38080001521874063,0.4093928965875431,18.669492521390023,1.2089284349594325
1,80,0.06790314540673753,0.007181575755300282,0.09084102938834307,0.019284114350373156,0.0789518789210866,0.008761351533728827,-0.0509608+0j; +0.657291+0.0527502j; +0.657291-0.0527502j,+0.7+0j; +0.5+0j; +0.3+0j,0.194911282598904,0.6594044451768719,True,1.6417505447365448,6.091243279442398,0.08007313943778617,0.10142052678480029,0.32510362348808963,0.005362614154203899
2,79,0.10371358444420731,0.01096896114426393,0.14782269226986514,0.03138042050498715,0.12120496235331985,0.013450209131453417,+0.170882+0j; +0.649155+0.0375928j; +0.649155-0.0375928j,+0.7+0j; +0.5+0j; +0.3+0j,0.11539010066794753,0.6502428169613107,True,1.5709413531550036,41.2555319368285,0.20423593250291522,0.23435807871989456,15.455308287592976,0.7892571018698976
3,76,0.11997335125018412,0.01268862738919539,0.22659016562949824,0.04810150979233568,0.1515104819128419,0.016813236255084702,-0.705199+0j; +0.685866+0.0876906j; +0.685866-0.0876906j,+0.7+0j; +0.5+0j; +0.3+0j,0.43317815978064583,0.7051985700867504,True,2.01875132636533,20.709440678869395,0.7937207183916232,0.7836946488394078,5.847173726313552,0.10373755504330742
4,78,0.0988532098719279,0.010454917973201984,0.1742832156623069,0.036997571282629586,0.12025974110673526,0.013345317193077204,-0.746782+0j; +0.683427+0.0867731j; +0.683427-0.0867731j,+0.7+0j; +0.5+0j; +0.3+0j,0.44601330894569324,0.7467821897024526,True,1.5770019995606481,6.982274883076016,0.02512058151597436,0.03438695057609036,1.3026583320967573,0.014215374119905935
5,80,0.07967431617914496,0.008426518888998365,0.10235559493621656,0.021728474571907075,0.08820163029054173,0.009787803651839745,-0.0966177+0j; +0.651185+0.0354984j; +0.651185-0.0354984j,+0.7+0j; +0.5+0j; +0.3+0j,0.2040906202385633,0.6521514947749117,True,1.7225261579076319,8.60092946380272,0.07970135441646399,0.1118687651210963,0.30086634804054035,0.051193049053907876
6,80,0.08564751386552259,0.009058256512184362,0.10375882288876134,0.022026357681320472,0.09567284548410554,0.010616890224438916,+0.0573302+0j; +0.562691+0j; +0.693837+0j,+0.7+0j; +0.5+0j; +0.3+0j,0.10384122473101341,0.6938374740372791,True,1.9457713952459887,5.9264730125156495,0.06808702322975826,0.09556097749790764,0.2135361771415045,0.025448341891994592
7,78,0.06609308458858064,0.006990140015329322,0.07431008643660347,0.015774856514488827,0.07239415730836807,0.008033636055712341,+0.124969+0j; +0.682385+0j; +0.583088+0j,+0.7+0j; +0.5+0j; +0.3+0j,0.09191140146678477,0.6823852461117624,True,2.00758404402578,5.858561276149593,0.10377972661535784,0.12039133455264474,0.1436489710565315,0.024270753128466813
8,80,0.08712036984504978,0.009214028777670195,0.13430990978473323,0.028511870419309214,0.10469203863506654,0.011617757117361762,+0.0177376+0j; +0.667276+0.068964j; +0.667276-0.068964j,+0.7+0j; +0.5+0j; +0.3+0j,0.17984361508931102,0.670830016448325,True,1.4260442471458046,11.32871598045084,0.24656040951002636,0.2712737975690786,5.319264662822626,0.5296950796232653
9,80,0.10951340442118516,0.011582361985745974,0.1705867492278726,0.03621286989941194,0.12705336359408378,0.014099210774996868,+0.677018+0.0847469j; +0.677018-0.0847469j; +0.238482+0j,+0.7+0j; +0.5+0j; +0.3+0j,0.11519481761892714,0.6823012884969963,True,1.9134554553007517,6.830363412694251,0.21074269025680717,0.23324448618246374,0.39506925789243896,0.06281315131770636
