metric,mean,std
test_nrmse,0.012565845482484697,0.003533006360839127
test_rmse,0.11323562435029685,0.03183726727030252
matched_eig_mean_abs_error,0.19960515017224628,0.1326747560881701
spectral_radius_A_f,0.6854635687623096,0.030111761875662144
fro_Af_minus_Atrue_coordinate_dependent,1.709013621423754,0.2582395134351872
T_cond,15.948172922888228,15.26933336492455
affine_calibration_nrmse,0.21928215910954535,0.22849083183081076
affine_test_nrmse,0.23955924624309272,0.22071068909378874
similarity_A_error,4.797212190783504,6.846601090853925
similarity_B_error,0.2814921455162088,0.42050611751926276
