seed,model,best_val_nrmse,best_val_nrmse_percent,best_epoch,final_val_nrmse,final_val_nrmse_percent,test_nrmse,test_nrmse_percent,max_shared_initial_parameter_difference,copied_shared_initial_parameters,avg_training_time_per_epoch_sec,total_parameters,trainable_parameters,comparison
0,ResDyNet,0.12447455745199326,12.447455745199326,54,0.1730845697341399,17.308456973413993,0.09737933668973411,9.737933668973412,0.0,195,0.07409329167014221,18991,18991,B_parameter_matched
0,Plain,0.1680165246721312,16.80165246721312,92,0.2652847036050448,26.528470360504482,0.13476498973431114,13.476498973431115,0.0,195,0.07409329167014221,18986,18986,B_parameter_matched
1,ResDyNet,0.14124886910041995,14.124886910041996,88,0.15181155545536706,15.181155545536706,0.09470807548407828,9.470807548407828,0.0,195,0.07324252332997276,18991,18991,B_parameter_matched
1,Plain,0.17523954409835577,17.523954409835575,75,0.2532478034212453,25.32478034212453,0.14676978899562632,14.67697889956263,0.0,195,0.07324252332997276,18986,18986,B_parameter_matched
2,ResDyNet,0.13709571624382122,13.709571624382122,53,0.13922027789587935,13.922027789587935,0.09575034736215472,9.575034736215473,0.0,195,0.07363828833011211,18991,18991,B_parameter_matched
2,Plain,0.1633219621703966,16.33219621703966,84,0.27162867193195317,27.162867193195318,0.1299644522492812,12.996445224928118,0.0,195,0.07363828833011211,18986,18986,B_parameter_matched
3,ResDyNet,0.14795125102288365,14.795125102288365,48,0.15984429881899456,15.984429881899457,0.10752266946447875,10.752266946447875,0.0,195,0.073419298340159,18991,18991,B_parameter_matched
3,Plain,0.17322019420216894,17.322019420216893,94,0.23110396618981985,23.110396618981984,0.18246474309436841,18.24647430943684,0.0,195,0.073419298340159,18986,18986,B_parameter_matched
4,ResDyNet,0.14559248950560888,14.559248950560889,87,0.16288989781772242,16.28898978177224,0.10352962322078173,10.352962322078172,0.0,195,0.0746615370901418,18991,18991,B_parameter_matched
4,Plain,0.15848708382787788,15.848708382787787,97,0.29211942858181555,29.211942858181555,0.13825398600120628,13.825398600120629,0.0,195,0.0746615370901418,18986,18986,B_parameter_matched
