seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-Random,0,0,0.0,1.1263934497160195
0,ResDyNet-Random,1,12,0.29116016600164585,1.1259230689410915
0,ResDyNet-Random,2,24,0.5705616250052117,1.125439561856405
0,ResDyNet-Random,3,36,0.8504182500182651,1.1250047879146745
0,ResDyNet-Random,4,48,1.1279675000114366,1.1245443816732852
0,ResDyNet-Random,5,60,1.4059178330062423,1.1240770217507647
0,ResDyNet-Random,6,72,1.6826958330057096,1.1236511285034154
0,ResDyNet-Random,7,84,1.9604287080001086,1.1232099154962638
0,ResDyNet-Random,8,96,2.238442041008966,1.1227883157282401
0,ResDyNet-Random,9,108,2.515303375024814,1.1224330240048233
0,ResDyNet-Random,10,120,2.7924977500224486,1.1219933262396977
0,ResDyNet-Random,11,132,3.069827208004426,1.121547960200807
0,ResDyNet-Random,12,144,3.3474980000173673,1.1210876034299753
0,ResDyNet-Random,13,156,3.62379533299827,1.120666121556397
0,ResDyNet-Random,14,168,3.903055666014552,1.1202092080101564
0,ResDyNet-Random,15,180,4.1814337499963585,1.1198149978637681
0,ResDyNet-Random,16,192,4.459409333008807,1.1194482065234255
0,ResDyNet-Random,17,204,4.736799541016808,1.1190482894340523
0,ResDyNet-Random,18,216,5.01379533301224,1.1186852538496104
0,ResDyNet-Random,19,228,5.289904291013954,1.118316047179515
0,ResDyNet-Random,20,240,5.566278915997827,1.1178888839142964
0,ResDyNet-LinearInit,0,0,0.0,0.5877139302058344
0,ResDyNet-LinearInit,1,12,0.27631637500599027,1.6721581631059779
0,ResDyNet-LinearInit,2,24,0.5532877499936149,2.491202051806102
0,ResDyNet-LinearInit,3,36,0.8292542919807602,1.5691138280402612
0,ResDyNet-LinearInit,4,48,1.1041835419891868,3.3499087946354034
0,ResDyNet-LinearInit,5,60,1.3804979999840725,3.1102428955764374
0,ResDyNet-LinearInit,6,72,1.6570831249991897,1.1502277913273287
0,ResDyNet-LinearInit,7,84,1.93248954199953,1.3436837068010146
0,ResDyNet-LinearInit,8,96,2.211690666998038,1.6696800590861132
0,ResDyNet-LinearInit,9,108,2.488736917002825,1.2436849408834174
0,ResDyNet-LinearInit,10,120,2.7662494169780985,0.9080310322474613
0,ResDyNet-LinearInit,11,132,3.043042749981396,1.3172769191684406
0,ResDyNet-LinearInit,12,144,3.3191838339844253,1.3842332367272177
0,ResDyNet-LinearInit,13,156,3.5955162919999566,1.3700005919741725
0,ResDyNet-LinearInit,14,168,3.8729103749792557,0.574933944569855
0,ResDyNet-LinearInit,15,180,4.149357999995118,3.4895705685415725
0,ResDyNet-LinearInit,16,192,4.425330208992818,1.754759156980769
0,ResDyNet-LinearInit,17,204,4.702863833983429,2.810645551395058
0,ResDyNet-LinearInit,18,216,4.978876167006092,1.6041726715659224
0,ResDyNet-LinearInit,19,228,5.255056333990069,2.6119891898339884
0,ResDyNet-LinearInit,20,240,5.53167929200572,1.7376665773586006
