training_horizon,seed,model,prediction_step,rmse,nrmse,nrmse_percent
10,0,ResDyNet,1,0.09034579851771167,0.09189583073880694,9.189583073880694
10,0,ResDyNet,2,0.10404714338356265,0.10589054080996116,10.589054080996116
10,0,ResDyNet,3,0.08423851317615379,0.08577612746281423,8.577612746281423
10,0,ResDyNet,4,0.07902154584132676,0.08049259121846934,8.049259121846934
10,0,ResDyNet,5,0.07454336421565087,0.07594591328120293,7.594591328120292
10,0,ResDyNet,6,0.07177294886833957,0.07312850794498864,7.312850794498865
10,0,ResDyNet,7,0.06908161095828545,0.070385500690275,7.038550069027498
10,0,ResDyNet,8,0.06769680258819795,0.06897181991930619,6.897181991930619
10,0,ResDyNet,9,0.06640095687991479,0.06764926908801552,6.764926908801552
10,0,ResDyNet,10,0.06564448980122777,0.06687779580666721,6.68777958066672
10,0,ResDyNet,11,0.06468013840692464,0.06589658086217814,6.589658086217815
10,0,ResDyNet,12,0.06365267454969324,0.06485529720374596,6.485529720374595
10,0,ResDyNet,13,0.06287886786269016,0.06407652162512084,6.407652162512085
10,0,ResDyNet,14,0.06243942564667113,0.06364012800547288,6.364012800547288
10,0,ResDyNet,15,0.06215529109728117,0.06336142798071466,6.3361427980714655
10,0,ResDyNet,16,0.06194344007706965,0.0631540704399037,6.315407043990371
10,0,ResDyNet,17,0.061833954378254403,0.06304978948884722,6.304978948884722
10,0,ResDyNet,18,0.06177340171324413,0.0629960117303391,6.299601173033909
10,0,ResDyNet,19,0.06173754226253491,0.06296817474867092,6.296817474867092
10,0,ResDyNet,20,0.06166054775433449,0.06289876156377867,6.2898761563778685
10,0,ResDyNet,21,0.06157049912973644,0.06281587802008093,6.281587802008093
10,0,ResDyNet,22,0.061541075049378724,0.06279380577625687,6.2793805776256875
10,0,ResDyNet,23,0.061498341452178584,0.06276386649564654,6.276386649564654
10,0,ResDyNet,24,0.06128811246737154,0.06258036517651279,6.258036517651278
10,0,ResDyNet,25,0.06108052159452611,0.062415884190398445,6.241588419039845
10,0,ResDyNet,26,0.06097268779603074,0.06236437126538944,6.236437126538945
10,0,ResDyNet,27,0.060990892537366954,0.062446550572658265,6.244655057265827
10,0,ResDyNet,28,0.0609409721667914,0.06243809825281756,6.2438098252817555
10,0,ResDyNet,29,0.06078960274232331,0.06230643233055396,6.230643233055397
10,0,ResDyNet,30,0.060719799875204074,0.062244654832092426,6.224465483209243
10,0,ResDyNet,31,0.06064696278175162,0.06217028254784509,6.217028254784508
10,0,ResDyNet,32,0.060615244263643696,0.06212887961150275,6.212887961150275
10,0,ResDyNet,33,0.060630761482472456,0.06212841571047769,6.212841571047768
10,0,ResDyNet,34,0.060677713213450245,0.062154813188150464,6.215481318815047
10,0,ResDyNet,35,0.06072609188427157,0.062177205778557586,6.217720577855759
10,0,ResDyNet,36,0.06077624277238541,0.06219534612185523,6.219534612185524
10,0,ResDyNet,37,0.06079957309891379,0.06218166564972541,6.218166564972541
10,0,ResDyNet,38,0.06081112930421358,0.06214278685305585,6.214278685305585
10,0,ResDyNet,39,0.06081428601584437,0.06208057094535151,6.2080570945351505
10,0,ResDyNet,40,0.06081726148202913,0.06200945925707137,6.200945925707137
10,0,ResDyNet,41,0.06081647585208957,0.061932068529265936,6.193206852926593
10,0,ResDyNet,42,0.060838208061639656,0.061885612157715236,6.188561215771524
10,0,ResDyNet,43,0.06087865484726101,0.06187430806478093,6.187430806478093
10,0,ResDyNet,44,0.06090352665841208,0.06186272327224923,6.186272327224923
10,0,ResDyNet,45,0.060896717094367184,0.06183136906429305,6.183136906429305
10,0,ResDyNet,46,0.0608803003317665,0.061799451188536615,6.179945118853662
10,0,ResDyNet,47,0.060839054094479296,0.06175653714404059,6.175653714404059
10,0,ResDyNet,48,0.060881812402433344,0.061805616975453406,6.180561697545341
10,0,ResDyNet,49,0.06100532526418096,0.061926259745880494,6.19262597458805
10,0,ResDyNet,50,0.06112915821192764,0.0620281844136401,6.20281844136401
10,0,ResDyNet,51,0.06117434531039603,0.06202914834543445,6.202914834543446
10,0,ResDyNet,52,0.061149551831611054,0.061963858690621904,6.19638586906219
10,0,ResDyNet,53,0.06112743871269433,0.06191396681268128,6.191396681268127
10,0,ResDyNet,54,0.0611046020694995,0.061874118046304334,6.187411804630433
10,0,ResDyNet,55,0.061089369452677775,0.06184985641121981,6.1849856411219815
10,0,ResDyNet,56,0.06107336099816837,0.06183025436707351,6.183025436707351
10,0,ResDyNet,57,0.061054032668505176,0.061811548091496145,6.181154809149614
10,0,ResDyNet,58,0.06104230027242677,0.06180405240865094,6.180405240865094
10,0,ResDyNet,59,0.06103588461307488,0.06180459157961569,6.180459157961569
10,0,ResDyNet,60,0.06103399166075907,0.061811166598664764,6.1811166598664755
10,0,ResDyNet,61,0.06103343458714409,0.06181939843550546,6.181939843550546
10,0,ResDyNet,62,0.061034143664426166,0.06182948461819611,6.182948461819611
10,0,ResDyNet,63,0.0610438530708664,0.06185273649815532,6.185273649815532
10,0,ResDyNet,64,0.0610522737498747,0.06188136522305313,6.188136522305313
10,0,ResDyNet,65,0.06106149066379517,0.06191763485333396,6.191763485333396
10,0,ResDyNet,66,0.06106355145180886,0.061952705986203255,6.1952705986203265
10,0,ResDyNet,67,0.061066918235748315,0.0619934095087496,6.1993409508749595
10,0,ResDyNet,68,0.061068023362164964,0.0620287973630282,6.20287973630282
10,0,ResDyNet,69,0.06106953506756214,0.06205795771338232,6.205795771338232
10,0,ResDyNet,70,0.06106927414270611,0.06207900210813309,6.207900210813309
10,0,ResDyNet,71,0.06106968960191971,0.062095368474491465,6.209536847449146
10,0,ResDyNet,72,0.06106658917346164,0.0621064501210827,6.2106450121082695
10,0,ResDyNet,73,0.06107312495465887,0.06212535612841178,6.212535612841178
10,0,ResDyNet,74,0.06107540302582945,0.06213628939638183,6.213628939638182
10,0,ResDyNet,75,0.06108352063955707,0.062149638491692805,6.21496384916928
10,0,ResDyNet,76,0.06109109863154905,0.06215942291641876,6.215942291641875
10,0,ResDyNet,77,0.06110435329093716,0.06217264577010127,6.217264577010127
