training_horizon,model,prediction_step,nrmse_percent_mean,nrmse_percent_std
10,ResDyNet,34,6.215481318815047,0.0
10,ResDyNet,35,6.217720577855759,0.0
10,ResDyNet,36,6.219534612185524,0.0
10,ResDyNet,37,6.218166564972541,0.0
10,ResDyNet,38,6.214278685305585,0.0
10,ResDyNet,39,6.2080570945351505,0.0
10,ResDyNet,40,6.200945925707137,0.0
10,ResDyNet,41,6.193206852926593,0.0
10,ResDyNet,42,6.188561215771524,0.0
10,ResDyNet,43,6.187430806478093,0.0
10,ResDyNet,44,6.186272327224923,0.0
10,ResDyNet,45,6.183136906429305,0.0
10,ResDyNet,46,6.179945118853662,0.0
10,ResDyNet,47,6.175653714404059,0.0
10,ResDyNet,48,6.180561697545341,0.0
10,ResDyNet,49,6.19262597458805,0.0
10,ResDyNet,50,6.20281844136401,0.0
10,ResDyNet,51,6.202914834543446,0.0
10,ResDyNet,52,6.19638586906219,0.0
10,ResDyNet,53,6.191396681268127,0.0
10,ResDyNet,54,6.187411804630433,0.0
10,ResDyNet,55,6.1849856411219815,0.0
10,ResDyNet,56,6.183025436707351,0.0
10,ResDyNet,57,6.181154809149614,0.0
10,ResDyNet,58,6.180405240865094,0.0
10,ResDyNet,59,6.180459157961569,0.0
10,ResDyNet,60,6.1811166598664755,0.0
10,ResDyNet,61,6.181939843550546,0.0
10,ResDyNet,62,6.182948461819611,0.0
10,ResDyNet,63,6.185273649815532,0.0
10,ResDyNet,64,6.188136522305313,0.0
10,ResDyNet,65,6.191763485333396,0.0
10,ResDyNet,66,6.1952705986203265,0.0
10,ResDyNet,67,6.1993409508749595,0.0
10,ResDyNet,68,6.20287973630282,0.0
10,ResDyNet,69,6.205795771338232,0.0
10,ResDyNet,70,6.207900210813309,0.0
10,ResDyNet,71,6.209536847449146,0.0
10,ResDyNet,72,6.2106450121082695,0.0
10,ResDyNet,73,6.212535612841178,0.0
10,ResDyNet,74,6.213628939638182,0.0
10,ResDyNet,75,6.21496384916928,0.0
10,ResDyNet,76,6.215942291641875,0.0
10,ResDyNet,77,6.217264577010127,0.0
10,ResDyNet,78,6.218261404232837,0.0
10,ResDyNet,79,6.218324771047258,0.0
10,ResDyNet,80,6.217983631308521,0.0
10,ResDyNet,81,6.2178708329969385,0.0
10,ResDyNet,82,6.217635690543024,0.0
10,ResDyNet,83,6.215825286104448,0.0
10,ResDyNet,84,6.213895417813344,0.0
10,ResDyNet,85,6.211563086980231,0.0
10,ResDyNet,86,6.208558287663462,0.0
10,ResDyNet,87,6.2064712661216825,0.0
10,ResDyNet,88,6.207638843511928,0.0
10,ResDyNet,89,6.2090159871531405,0.0
10,ResDyNet,90,6.210070875281792,0.0
10,ResDyNet,91,6.210154930555541,0.0
10,ResDyNet,92,6.208424891180705,0.0
10,ResDyNet,93,6.206717326388903,0.0
10,ResDyNet,94,6.206374713173251,0.0
10,ResDyNet,95,6.207061668057164,0.0
10,ResDyNet,96,6.209668753242264,0.0
10,ResDyNet,97,6.2131453220990425,0.0
10,ResDyNet,98,6.217188338709705,0.0
10,ResDyNet,99,6.221099633684041,0.0
10,ResDyNet,100,6.224670736752629,0.0
