prediction_step,resdynet_H10_seed0,resdynet_H10_mean,resdynet_H10_std,plain_H10_seed0,plain_H10_mean,plain_H10_std
30,6.224465483209243,6.224465483209243,0.0,27.45911700719104,27.45911700719104,0.0
31,6.217028254784508,6.217028254784508,0.0,27.47611859871625,27.47611859871625,0.0
32,6.212887961150275,6.212887961150275,0.0,27.48287097559033,27.48287097559033,0.0
33,6.212841571047768,6.212841571047768,0.0,27.486814759366588,27.486814759366588,0.0
34,6.215481318815047,6.215481318815047,0.0,27.49208061936259,27.49208061936259,0.0
35,6.217720577855759,6.217720577855759,0.0,27.502323827538312,27.502323827538312,0.0
36,6.219534612185524,6.219534612185524,0.0,27.515365096821697,27.515365096821697,0.0
37,6.218166564972541,6.218166564972541,0.0,27.542058715300893,27.542058715300893,0.0
38,6.214278685305585,6.214278685305585,0.0,27.56701713312107,27.56701713312107,0.0
39,6.2080570945351505,6.2080570945351505,0.0,27.592326204256572,27.592326204256572,0.0
40,6.200945925707137,6.200945925707137,0.0,27.619060732333256,27.619060732333256,0.0
41,6.193206852926593,6.193206852926593,0.0,27.63726517538978,27.63726517538978,0.0
42,6.188561215771524,6.188561215771524,0.0,27.670290728837095,27.670290728837095,0.0
43,6.187430806478093,6.187430806478093,0.0,27.703332970089104,27.703332970089104,0.0
44,6.186272327224923,6.186272327224923,0.0,27.725738973002017,27.725738973002017,0.0
45,6.183136906429305,6.183136906429305,0.0,27.73878603907431,27.73878603907431,0.0
46,6.179945118853662,6.179945118853662,0.0,27.745077731633913,27.745077731633913,0.0
47,6.175653714404059,6.175653714404059,0.0,27.76855377697206,27.76855377697206,0.0
48,6.180561697545341,6.180561697545341,0.0,27.77369304560312,27.77369304560312,0.0
49,6.19262597458805,6.19262597458805,0.0,27.76618648913338,27.76618648913338,0.0
50,6.20281844136401,6.20281844136401,0.0,27.75368279759693,27.75368279759693,0.0
51,6.202914834543446,6.202914834543446,0.0,27.73368162289741,27.73368162289741,0.0
52,6.19638586906219,6.19638586906219,0.0,27.722324207141952,27.722324207141952,0.0
53,6.191396681268127,6.191396681268127,0.0,27.712983452191335,27.712983452191335,0.0
54,6.187411804630433,6.187411804630433,0.0,27.70461923992493,27.70461923992493,0.0
55,6.1849856411219815,6.1849856411219815,0.0,27.69799309099078,27.69799309099078,0.0
56,6.183025436707351,6.183025436707351,0.0,27.693684969303924,27.693684969303924,0.0
57,6.181154809149614,6.181154809149614,0.0,27.691738926101042,27.691738926101042,0.0
58,6.180405240865094,6.180405240865094,0.0,27.689520676594103,27.689520676594103,0.0
59,6.180459157961569,6.180459157961569,0.0,27.689206918982663,27.689206918982663,0.0
60,6.1811166598664755,6.1811166598664755,0.0,27.69103061960907,27.69103061960907,0.0
61,6.181939843550546,6.181939843550546,0.0,27.69370990871014,27.69370990871014,0.0
62,6.182948461819611,6.182948461819611,0.0,27.701884974908033,27.701884974908033,0.0
63,6.185273649815532,6.185273649815532,0.0,27.713944873113146,27.713944873113146,0.0
64,6.188136522305313,6.188136522305313,0.0,27.729077879284617,27.729077879284617,0.0
65,6.191763485333396,6.191763485333396,0.0,27.745235942281468,27.745235942281468,0.0
66,6.1952705986203265,6.1952705986203265,0.0,27.76198196361242,27.76198196361242,0.0
67,6.1993409508749595,6.1993409508749595,0.0,27.77743118307462,27.77743118307462,0.0
68,6.20287973630282,6.20287973630282,0.0,27.78905632740196,27.78905632740196,0.0
69,6.205795771338232,6.205795771338232,0.0,27.799062074748193,27.799062074748193,0.0
70,6.207900210813309,6.207900210813309,0.0,27.80768139092675,27.80768139092675,0.0
71,6.209536847449146,6.209536847449146,0.0,27.81449021420988,27.81449021420988,0.0
72,6.2106450121082695,6.2106450121082695,0.0,27.823450332323645,27.823450332323645,0.0
73,6.212535612841178,6.212535612841178,0.0,27.83233652971517,27.83233652971517,0.0
74,6.213628939638182,6.213628939638182,0.0,27.839012209084693,27.839012209084693,0.0
75,6.21496384916928,6.21496384916928,0.0,27.84287803245845,27.84287803245845,0.0
76,6.215942291641875,6.215942291641875,0.0,27.843999392357336,27.843999392357336,0.0
77,6.217264577010127,6.217264577010127,0.0,27.84316267080867,27.84316267080867,0.0
78,6.218261404232837,6.218261404232837,0.0,27.834316245668564,27.834316245668564,0.0
79,6.218324771047258,6.218324771047258,0.0,27.82120862410485,27.82120862410485,0.0
80,6.217983631308521,6.217983631308521,0.0,27.807192335558014,27.807192335558014,0.0
81,6.2178708329969385,6.2178708329969385,0.0,27.792809441290835,27.792809441290835,0.0
82,6.217635690543024,6.217635690543024,0.0,27.778118156338504,27.778118156338504,0.0
83,6.215825286104448,6.215825286104448,0.0,27.77107696768872,27.77107696768872,0.0
84,6.213895417813344,6.213895417813344,0.0,27.761924480198346,27.761924480198346,0.0
85,6.211563086980231,6.211563086980231,0.0,27.750754693789148,27.750754693789148,0.0
86,6.208558287663462,6.208558287663462,0.0,27.73861074520397,27.73861074520397,0.0
87,6.2064712661216825,6.2064712661216825,0.0,27.737884749438418,27.737884749438418,0.0
88,6.207638843511928,6.207638843511928,0.0,27.736769906016956,27.736769906016956,0.0
89,6.2090159871531405,6.2090159871531405,0.0,27.732364656033475,27.732364656033475,0.0
90,6.210070875281792,6.210070875281792,0.0,27.726403068884654,27.726403068884654,0.0
91,6.210154930555541,6.210154930555541,0.0,27.72038701312992,27.72038701312992,0.0
92,6.208424891180705,6.208424891180705,0.0,27.71328695360935,27.71328695360935,0.0
93,6.206717326388903,6.206717326388903,0.0,27.71181328493642,27.71181328493642,0.0
94,6.206374713173251,6.206374713173251,0.0,27.7124603459299,27.7124603459299,0.0
95,6.207061668057164,6.207061668057164,0.0,27.713193212942613,27.713193212942613,0.0
96,6.209668753242264,6.209668753242264,0.0,27.71192747391543,27.71192747391543,0.0
97,6.2131453220990425,6.2131453220990425,0.0,27.71436840625787,27.71436840625787,0.0
98,6.217188338709705,6.217188338709705,0.0,27.721167731363796,27.721167731363796,0.0
99,6.221099633684041,6.221099633684041,0.0,27.72745641945893,27.72745641945893,0.0
100,6.224670736752629,6.224670736752629,0.0,27.734750756814318,27.734750756814318,0.0
