prediction_step,resdynet_H10_seed0,resdynet_H10_mean,resdynet_H10_std,plain_H10_seed0,plain_H10_mean,plain_H10_std
1,9.189583073880694,9.189583073880694,0.0,16.14352017269845,16.14352017269845,0.0
2,10.589054080996116,10.589054080996116,0.0,19.73592062137848,19.73592062137848,0.0
3,8.577612746281423,8.577612746281423,0.0,21.15657729018683,21.15657729018683,0.0
4,8.049259121846934,8.049259121846934,0.0,22.68624788287704,22.68624788287704,0.0
5,7.594591328120292,7.594591328120292,0.0,23.965936321027602,23.965936321027602,0.0
6,7.312850794498865,7.312850794498865,0.0,25.266411286146106,25.266411286146106,0.0
7,7.038550069027498,7.038550069027498,0.0,25.999033887266556,25.999033887266556,0.0
8,6.897181991930619,6.897181991930619,0.0,26.403906469540363,26.403906469540363,0.0
9,6.764926908801552,6.764926908801552,0.0,26.644306097297704,26.644306097297704,0.0
10,6.68777958066672,6.68777958066672,0.0,26.811806229590164,26.811806229590164,0.0
11,6.589658086217815,6.589658086217815,0.0,26.92771300893729,26.92771300893729,0.0
12,6.485529720374595,6.485529720374595,0.0,26.995097770198317,26.995097770198317,0.0
13,6.407652162512085,6.407652162512085,0.0,27.029571887411482,27.029571887411482,0.0
14,6.364012800547288,6.364012800547288,0.0,27.064417216781234,27.064417216781234,0.0
15,6.3361427980714655,6.3361427980714655,0.0,27.105980179325357,27.105980179325357,0.0
16,6.315407043990371,6.315407043990371,0.0,27.155829248917435,27.155829248917435,0.0
17,6.304978948884722,6.304978948884722,0.0,27.209328694440472,27.209328694440472,0.0
18,6.299601173033909,6.299601173033909,0.0,27.25878901375847,27.25878901375847,0.0
19,6.296817474867092,6.296817474867092,0.0,27.29990082638722,27.29990082638722,0.0
20,6.2898761563778685,6.2898761563778685,0.0,27.331221859751384,27.331221859751384,0.0
21,6.281587802008093,6.281587802008093,0.0,27.35351751957059,27.35351751957059,0.0
22,6.2793805776256875,6.2793805776256875,0.0,27.36750670187137,27.36750670187137,0.0
23,6.276386649564654,6.276386649564654,0.0,27.384754473567583,27.384754473567583,0.0
24,6.258036517651278,6.258036517651278,0.0,27.404232965124777,27.404232965124777,0.0
25,6.241588419039845,6.241588419039845,0.0,27.412256885166126,27.412256885166126,0.0
26,6.236437126538945,6.236437126538945,0.0,27.408096320006383,27.408096320006383,0.0
27,6.244655057265827,6.244655057265827,0.0,27.419323775181446,27.419323775181446,0.0
28,6.2438098252817555,6.2438098252817555,0.0,27.429310922563488,27.429310922563488,0.0
29,6.230643233055397,6.230643233055397,0.0,27.44417629476313,27.44417629476313,0.0
