seed,model,best_val_nrmse,best_val_nrmse_percent,best_epoch,final_val_nrmse,final_val_nrmse_percent,test_nrmse,test_nrmse_percent,max_shared_initial_parameter_difference,copied_shared_initial_parameters,avg_training_time_per_epoch_sec,total_parameters,trainable_parameters,comparison
0,ResDyNet,0.16442877143662696,16.442877143662695,84,0.24414885421273388,24.41488542127339,0.16671956948917407,16.67195694891741,0.0,21272,0.14136287208995782,21513,21513,A_same_width
0,Plain,0.28715308030478126,28.715308030478127,97,0.372955776775095,37.2955776775095,0.2258757092067056,22.58757092067056,0.0,21272,0.14136287208995782,21272,21272,A_same_width
1,ResDyNet,0.15984368133606128,15.984368133606127,100,0.15984368133606128,15.984368133606127,0.1244995971708094,12.44995971708094,0.0,21272,0.14553706874983618,21513,21513,A_same_width
1,Plain,0.4522798488498547,45.227984884985474,99,0.472097122881148,47.2097122881148,0.3102765467359017,31.02765467359017,0.0,21272,0.14553706874983618,21272,21272,A_same_width
2,ResDyNet,0.19456666261795155,19.456666261795156,72,0.20840852399664964,20.840852399664964,0.15633958784828964,15.633958784828964,0.0,21272,0.14185555999982172,21513,21513,A_same_width
2,Plain,0.30954207993740535,30.954207993740535,93,0.37128967614675307,37.128967614675304,0.2908634154856549,29.086341548565493,0.0,21272,0.14185555999982172,21272,21272,A_same_width
3,ResDyNet,0.18595456854597328,18.595456854597327,78,0.21553272940096188,21.55327294009619,0.15361356897153627,15.361356897153627,0.0,21272,0.14050317874993198,21513,21513,A_same_width
3,Plain,0.384382320674986,38.4382320674986,99,0.5358318068142365,53.58318068142365,0.24987524243443604,24.987524243443605,0.0,21272,0.14050317874993198,21272,21272,A_same_width
4,ResDyNet,0.16836759729468312,16.836759729468312,91,0.2030756838347591,20.30756838347591,0.10558316096175896,10.558316096175895,0.0,21272,0.14053640041005566,21513,21513,A_same_width
4,Plain,0.4085225342775961,40.852253427759614,100,0.4085225342775961,40.852253427759614,0.30335059377334095,30.335059377334094,0.0,21272,0.14053640041005566,21272,21272,A_same_width
