order,validation_rmse,validation_nrmse,validation_open_loop_rmse,validation_open_loop_nrmse,spectral_radius,stable,observability_rank,controllability_rank,eigenvalues
2,0.08533750966259158,0.18626403792627877,0.43649908048580643,0.9527355743547599,0.9981556779588892,True,2,2,0.99815568+0j;0.90650425+0j
3,0.02433044354908213,0.053105447743994914,0.38327224741407057,0.8365587033261984,0.9895632827666663,True,3,3,-0.54735574+0j;0.98953082+0.008015288j;0.98953082-0.008015288j
4,0.01040972617268962,0.02272104773502659,0.30541546948810405,0.6666226705809503,0.9959404541098258,True,4,4,0.99586199+0.01250116j;0.99586199-0.01250116j;-0.73535817+0.18166856j;-0.73535817-0.18166856j
5,0.007940273969239896,0.017331036464494708,0.24356947090534592,0.5316329635792566,0.998278452258735,True,5,5,0.99819318+0.013047472j;0.99819318-0.013047472j;-0.80904224+0.35076742j;-0.80904224-0.35076742j;0.063377248+0j
6,0.007364537667951209,0.016074391307133375,0.22579173319543125,0.49282994220992615,0.998443233358186,True,6,6,0.9983575+0.013084396j;0.9983575-0.013084396j;-0.75162799+0.31586305j;-0.75162799-0.31586305j;-0.17625916+0.53557115j;-0.17625916-0.53557115j
8,0.006845483030205548,0.014941463792455154,0.21184556527404722,0.462389991935942,0.9987744195020596,True,8,8,-0.70000852+0.36305924j;-0.70000852-0.36305924j;-0.44901505+0.72374727j;-0.44901505-0.72374727j;0.99868823+0.013120706j;0.99868823-0.013120706j;0.43125028+0.059529898j;0.43125028-0.059529898j
10,0.006489277531449014,0.014163983001273589,0.21080691320298198,0.46012295216032606,0.9988640554020635,True,10,10,-0.51938667+0.78531083j;-0.51938667-0.78531083j;-0.69411628+0.52091195j;-0.69411628-0.52091195j;-0.38927388+0j;0.46457537+0.3968985j;0.46457537-0.3968985j;0.99877774+0.01313151j;0.99877774-0.01313151j;0.79271666+0j
