seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-Random,0,0,0.0,1.1263934497160195
0,ResDyNet-Random,1,12,0.29070949999731965,1.126346248783693
0,ResDyNet-Random,2,24,0.5693247920135036,1.1262974327122663
0,ResDyNet-Random,3,36,0.8475549580180086,1.1262531796404787
0,ResDyNet-Random,4,48,1.1267991670174524,1.1262060859300096
0,ResDyNet-Random,5,60,1.404521874996135,1.1261580394636728
0,ResDyNet-Random,6,72,1.6826569169934373,1.126113799765081
0,ResDyNet-Random,7,84,1.9597752919944469,1.126067803789649
0,ResDyNet-Random,8,96,2.2526146250020247,1.126023431903869
0,ResDyNet-Random,9,108,2.529709124995861,1.1259853624331286
0,ResDyNet-Random,10,120,2.8227741669979878,1.1259386806702798
0,ResDyNet-Random,11,132,3.0999394170066807,1.125891195242697
0,ResDyNet-Random,12,144,3.3762381249980535,1.1258419823040287
0,ResDyNet-Random,13,156,3.6553672080044635,1.125796290130141
0,ResDyNet-Random,14,168,3.9333388330123853,1.1257468427606976
0,ResDyNet-Random,15,180,4.212099958007457,1.1257032999925982
0,ResDyNet-Random,16,192,4.488378458016086,1.1256621667279525
0,ResDyNet-Random,17,204,4.766715625009965,1.1256175196120475
0,ResDyNet-Random,18,216,5.043097999994643,1.1255761939272875
0,ResDyNet-Random,19,228,5.319310582999606,1.1255340325899523
0,ResDyNet-Random,20,240,5.596733625017805,1.125485914878678
0,ResDyNet-LinearInit,0,0,0.0,0.5877139302058344
0,ResDyNet-LinearInit,1,12,0.27570533301332034,0.8765586573859848
0,ResDyNet-LinearInit,2,24,0.5520497499965131,0.5559442199817565
0,ResDyNet-LinearInit,3,36,0.8279725830070674,0.9244136263453653
0,ResDyNet-LinearInit,4,48,1.1035825420112815,0.7480916532924546
0,ResDyNet-LinearInit,5,60,1.3793944579956587,0.5333675132383429
0,ResDyNet-LinearInit,6,72,1.655498375010211,0.878239449246246
0,ResDyNet-LinearInit,7,84,1.9321144169953186,1.065204375489715
0,ResDyNet-LinearInit,8,96,2.2100432080042083,0.6912390153734058
0,ResDyNet-LinearInit,9,108,2.4874890000210144,0.6824196049120673
0,ResDyNet-LinearInit,10,120,2.7639303329924587,0.7702461025172397
0,ResDyNet-LinearInit,11,132,3.0423867079953197,0.6783391712210655
0,ResDyNet-LinearInit,12,144,3.3184476669994183,0.5802252809878868
0,ResDyNet-LinearInit,13,156,3.5949500830029137,1.0027993076888824
0,ResDyNet-LinearInit,14,168,3.871112249995349,0.54810768188598
0,ResDyNet-LinearInit,15,180,4.1473073750094045,0.6573529721270233
0,ResDyNet-LinearInit,16,192,4.4232512500020675,0.5963980200225756
0,ResDyNet-LinearInit,17,204,4.699030667019542,1.054672733515295
0,ResDyNet-LinearInit,18,216,4.9751370000012685,0.6012785979139932
0,ResDyNet-LinearInit,19,228,5.250420124997618,0.5915451541522208
0,ResDyNet-LinearInit,20,240,5.526481125009013,1.6063833383610389
