seed,model,best_val_nrmse,best_val_nrmse_percent,best_epoch,final_val_nrmse,final_val_nrmse_percent,test_nrmse,test_nrmse_percent,max_shared_initial_parameter_difference,copied_shared_initial_parameters,avg_training_time_per_epoch_sec,total_parameters,trainable_parameters,comparison
0,ResDyNet,0.010935237579502027,1.0935237579502026,47,0.013739347718132927,1.3739347718132926,0.009846677062891331,0.9846677062891331,0.0,21272,2.3031239199999254,21513,21513,A_same_width
0,Plain,0.06570610921672819,6.570610921672819,48,0.13383936164714155,13.383936164714155,0.07021276136252956,7.021276136252956,0.0,21272,2.3031239199999254,21272,21272,A_same_width
1,ResDyNet,0.009326202032285439,0.9326202032285439,46,0.016554597460134293,1.6554597460134293,0.008559959265294913,0.8559959265294913,0.0,21272,2.7841392391797855,21513,21513,A_same_width
1,Plain,0.05937709366937698,5.937709366937698,33,0.07966953589927193,7.9669535899271935,0.05848579236158871,5.848579236158871,0.0,21272,2.7841392391797855,21272,21272,A_same_width
2,ResDyNet,0.01025390131573375,1.0253901315733749,45,0.02381905399520589,2.3819053995205888,0.009312162343845017,0.9312162343845017,0.0,21272,3.0238783633400454,21513,21513,A_same_width
2,Plain,0.04578924514812022,4.578924514812021,34,0.08189578190730358,8.189578190730359,0.04778550421840875,4.778550421840875,0.0,21272,3.0238783633400454,21272,21272,A_same_width
3,ResDyNet,0.01083369541987536,1.083369541987536,45,0.013976651373441966,1.3976651373441966,0.009894576647888372,0.9894576647888372,0.0,21272,2.7673956749995705,21513,21513,A_same_width
3,Plain,0.05192630699353532,5.192630699353532,20,0.08812182952104505,8.812182952104505,0.055609239883832325,5.560923988383233,0.0,21272,2.7673956749995705,21272,21272,A_same_width
4,ResDyNet,0.009207079548775006,0.9207079548775007,50,0.009207079548775006,0.9207079548775007,0.00871142483626696,0.8711424836266961,0.0,21272,2.738512185839936,21513,21513,A_same_width
4,Plain,0.057052562617851195,5.705256261785119,47,0.20621265049619747,20.621265049619748,0.059465495389815146,5.946549538981515,0.0,21272,2.738512185839936,21272,21272,A_same_width
