seed,model,epoch,train_loss,val_loss,val_rmse,val_nrmse,val_nrmse_percent,wall_time_sec,comparison
0,ResDyNet,0,1.0287953267518528,0.9961718450307695,0.9980840871543687,1.012603536549959,101.26035365499591,0.11306187501759268,A_same_width
0,Plain,0,1.0469322228329865,1.0007847141105144,1.0003922801134135,1.0149453075324344,101.49453075324344,0.220936208992498,A_same_width
0,ResDyNet,1,0.1682996536593302,0.009286161292976835,0.09636473054482556,0.09776657919332414,9.776657919332415,2.3436214170069434,A_same_width
0,Plain,1,0.47428368480764027,0.05129458459593589,0.2264830779460927,0.2297777999354708,22.977779993547077,2.4524727090029046,A_same_width
0,ResDyNet,2,0.007658383828330631,0.005097105679850396,0.0713940171152345,0.07243260878500855,7.243260878500855,4.5574395839939825,A_same_width
0,Plain,2,0.07123445172288294,0.044434510471906004,0.21079494887664177,0.21386145061978307,21.386145061978308,4.6653662500029895,A_same_width
0,ResDyNet,3,0.0024481195812912117,0.0030580787504774468,0.05529989828632099,0.05610436364658812,5.6104363646588125,6.766118875006214,A_same_width
0,Plain,3,0.057771005140729,0.06263036650775071,0.2502605971937067,0.2539012183832741,25.390121838327413,6.873668292013463,A_same_width
0,ResDyNet,4,0.0016590945370860565,0.002654167489391319,0.05151861303831188,0.05226807082906121,5.226807082906121,8.970871041994542,A_same_width
0,Plain,4,0.049680923616753275,0.04001468010376183,0.20003669689274975,0.2029466948930947,20.29466948930947,9.07792958401842,A_same_width
0,ResDyNet,5,0.0011824928810398798,0.0011044629327232483,0.03323346104039193,0.0337169188592537,3.37169188592537,11.262664500012761,A_same_width
0,Plain,5,0.04522510856675056,0.04504112023653343,0.2122289335517978,0.2153162959300228,21.53162959300228,11.370625084004132,A_same_width
0,ResDyNet,6,0.0008372749277251964,0.007670360286627431,0.08758059309360397,0.08885465607669779,8.88546560766978,13.474892875005025,A_same_width
0,Plain,6,0.05259692615252497,0.03133382644969047,0.17701363351360955,0.17958870762530904,17.958870762530903,13.581773917016108,A_same_width
0,ResDyNet,7,0.0011655385266244435,0.0006204656365478267,0.024909147647959103,0.025271509009508288,2.527150900950829,15.688078959006816,A_same_width
0,Plain,7,0.04429160972271232,0.040492147219954706,0.2012266066402619,0.20415391463942026,20.415391463942026,15.795100459014066,A_same_width
0,ResDyNet,8,0.0005312600258268448,0.0011347424629908826,0.033685938653849064,0.03417597880970607,3.417597880970607,17.891609834012343,A_same_width
0,Plain,8,0.040228863331642974,0.04870896425747966,0.22070107443662268,0.2239116837661143,22.391168376611432,17.99792045901995,A_same_width
0,ResDyNet,9,0.0007073827960745667,0.0006040680559006181,0.02457779599355113,0.024935337076287895,2.4935337076287896,20.092510250018677,A_same_width
0,Plain,9,0.03296965417496399,0.028237348554252525,0.16803972314382254,0.1704842509025928,17.048425090259283,20.200167000002693,A_same_width
0,ResDyNet,10,0.00042949088567517115,0.0003647401475926664,0.01909817131540783,0.0193759985401189,1.93759985401189,22.30282937499578,A_same_width
0,Plain,10,0.024467401285540535,0.02646454826175908,0.16267928037017831,0.16504582804832052,16.50458280483205,22.410625209013233,A_same_width
0,ResDyNet,11,0.0005042104045056639,0.00033385370801593755,0.018271664073530293,0.0185374678322549,1.85374678322549,24.523346292000497,A_same_width
0,Plain,11,0.023738133183475937,0.026599403012019726,0.16309323410865245,0.16546580370462227,16.546580370462227,24.6306735840044,A_same_width
0,ResDyNet,12,0.0004630098808206463,0.0003788687958684005,0.019464552290468957,0.019747709376757194,1.9747709376757194,26.791184375004377,A_same_width
0,Plain,12,0.02346699468063346,0.02262235205396646,0.15040728723691038,0.15259531029415663,15.259531029415662,26.89659112499794,A_same_width
0,ResDyNet,13,0.0004895203066341069,0.0025631257009526313,0.05062732168456704,0.05136381357407219,5.136381357407219,29.037615709006786,A_same_width
0,Plain,13,0.0228706197613186,0.02598101714589515,0.1611862808861075,0.16353110942180912,16.353110942180912,29.14411737502087,A_same_width
0,ResDyNet,14,0.0005667708723711134,0.0009907480047077015,0.03147614977578581,0.0319340434239458,3.19340434239458,31.245991417003097,A_same_width
0,Plain,14,0.021731089209515785,0.02432400509831741,0.15596155006384557,0.1582303727642115,15.82303727642115,31.352261334017385,A_same_width
0,ResDyNet,15,0.0005017585797405952,0.00022101914628181745,0.014866712692516037,0.015082983531211796,1.5082983531211795,33.70481166700483,A_same_width
0,Plain,15,0.01995524935668721,0.012991971760036965,0.11398233091158018,0.11564046844424095,11.564046844424094,33.81433291701251,A_same_width
0,ResDyNet,16,0.00029595238093825375,0.00020260850084728068,0.014234061291398203,0.014441128747210895,1.4441128747210894,36.0102918750199,A_same_width
0,Plain,16,0.013557686605907854,0.014773450669377356,0.12154608454975978,0.12331425443300473,12.331425443300473,36.12094774999423,A_same_width
0,ResDyNet,17,0.00037446401566171024,0.0008918822061637058,0.029864396966349505,0.030298843929349395,3.0298843929349397,38.362495917011984,A_same_width
0,Plain,17,0.012895150015679755,0.019013515301340742,0.13788950395639524,0.13989542680462544,13.989542680462543,38.46938316701562,A_same_width
0,ResDyNet,18,0.00046742002255290623,0.0034238596631251594,0.058513756187115185,0.05936497456925269,5.936497456925268,40.6225297920173,A_same_width
0,Plain,18,0.012627213220555452,0.015685789900813128,0.12524292355583658,0.12706487254202806,12.706487254202806,40.729619209014345,A_same_width
0,ResDyNet,19,0.0006947098641791212,0.0004150235071747422,0.020372125740205468,0.020668485588611476,2.0668485588611474,42.89195499999914,A_same_width
0,Plain,19,0.011950380189891483,0.00867966575286177,0.09316472375777095,0.0945200208809941,9.452002088099409,42.99897400001646,A_same_width
0,ResDyNet,20,0.00026062496086365767,0.0003029325604587213,0.017404957927519428,0.017658153433903562,1.765815343390356,45.21318533399608,A_same_width
0,Plain,20,0.011060753625831903,0.011424731642390776,0.10688653630083995,0.10844144903300733,10.844144903300732,45.32081875001313,A_same_width
0,ResDyNet,21,0.0003542195268329768,0.0002470321103122908,0.015717255177424935,0.015945899130497907,1.5945899130497907,47.50213237499702,A_same_width
0,Plain,21,0.010814632694949786,0.009311500101794701,0.09649611443884515,0.09789987437099724,9.789987437099725,47.61177254200447,A_same_width
0,ResDyNet,22,0.00023195558018285632,0.0005750434529987996,0.02398006365710482,0.024328909335794135,2.4328909335794133,49.773416542011546,A_same_width
0,Plain,22,0.01009419155797489,0.015906401530750142,0.12612058329531362,0.12795529987928358,12.795529987928358,49.88126416699379,A_same_width
0,ResDyNet,23,0.0003266847642433717,0.000772403714089262,0.027792152023354756,0.028196453374404393,2.819645337440439,52.04344308399595,A_same_width
0,Plain,23,0.037236911671342306,0.019861035331337228,0.1409291855200236,0.14297932759107262,14.297932759107262,52.15079916699324,A_same_width
0,ResDyNet,24,0.0005055252526366614,0.0003838119332892957,0.019591118735010914,0.019876117023969707,1.9876117023969706,54.29829816700658,A_same_width
0,Plain,24,0.02351844340494197,0.013780440179217186,0.11739011959793373,0.11909783132581431,11.909783132581431,54.40535741701024,A_same_width
0,ResDyNet,25,0.00020844746267874954,0.0002069376261596021,0.014385326765826423,0.014594594729020735,1.4594594729020736,56.55838070900063,A_same_width
0,Plain,25,0.029787719235387117,0.006968494421467742,0.08347750847664143,0.08469188257156586,8.469188257156587,56.66586233401904,A_same_width
0,ResDyNet,26,0.0001701926790533036,0.0001584126305920844,0.012586207951249033,0.0127693035559005,1.27693035559005,58.85007283400046,A_same_width
0,Plain,26,0.010469162992413886,0.012226457240092872,0.11057331160860143,0.11218185704386757,11.218185704386757,58.95925200000056,A_same_width
0,ResDyNet,27,0.0003281521614710719,0.002298429911430581,0.047941943133654706,0.04863936995992542,4.863936995992542,61.119643834012095,A_same_width
0,Plain,27,0.008352829647658362,0.010764332683855923,0.10375130208270122,0.10526060555693185,10.526060555693185,61.23730129201431,A_same_width
0,ResDyNet,28,0.0005504032044715294,0.0008575172267591266,0.029283395068863287,0.029709390010878307,2.9709390010878307,63.49277045900817,A_same_width
0,Plain,28,0.017335695417945877,0.0047402044539448475,0.06884914272483608,0.06985071329047163,6.985071329047162,63.599089833995095,A_same_width
0,ResDyNet,29,0.00042674211586143457,0.000671588003617546,0.025915015022522095,0.026292009059445638,2.629200905944564,65.70868125002016,A_same_width
0,Plain,29,0.01664410842291597,0.04126038964232639,0.2031265360368418,0.20608148291841885,20.608148291841886,65.81499495901517,A_same_width
0,ResDyNet,30,0.00019457183278320822,0.00022421933185537622,0.014973955117315408,0.01519178604596749,1.519178604596749,67.92020641700947,A_same_width
0,Plain,30,0.01030049970664609,0.006899954332184134,0.08306596374077733,0.08427435096240792,8.427435096240792,68.02652883401606,A_same_width
0,ResDyNet,31,0.00015095934018655822,0.00038324569329756166,0.019576661954928926,0.019861449936470214,1.9861449936470215,70.12421958401683,A_same_width
0,Plain,31,0.020452296805029604,0.039908161611978146,0.19977027209266685,0.20267639432597742,20.267639432597743,70.23556495900266,A_same_width
0,ResDyNet,32,0.00020368144877341222,0.0001401690640964286,0.011839301672667547,0.01201153179208116,1.201153179208116,72.44172975001857,A_same_width
0,Plain,32,0.016786784906289348,0.010202647558094344,0.1010081558988894,0.10247755394559825,10.247755394559825,72.55041420899215,A_same_width
