seed,model,best_val_nrmse,best_epoch,final_val_nrmse,test_nrmse,avg_training_time_per_epoch_sec,comparison
0,ResDyNet,0.38149209007427465,54,0.40870345980972295,0.2274220847313156,0.3506122034668806,B_parameter_matched
0,Plain,1.035431461480956,8,1.2001769744856692,0.9305891310735623,0.3506122034668806,B_parameter_matched
1,ResDyNet,0.37511401048628573,18,0.4130328206729467,0.22857771121858547,0.33978545833330526,B_parameter_matched
1,Plain,1.044941640414747,5,1.2302915842984996,0.9072802588065705,0.33978545833330526,B_parameter_matched
2,ResDyNet,0.31224135263889136,57,0.3531917582033536,0.21494470929918558,0.3391217444499489,B_parameter_matched
2,Plain,1.0494355691524377,6,1.2157760588625233,0.8795262202073766,0.3391217444499489,B_parameter_matched
3,ResDyNet,0.3761467279503311,13,0.460503026429375,0.30360228124515737,0.34256904653351133,B_parameter_matched
3,Plain,1.05145231959841,10,1.2822826129276934,0.9252248082723016,0.34256904653351133,B_parameter_matched
4,ResDyNet,0.39989337251947793,53,0.43098830673006666,0.27160458076903815,0.3525876972164648,B_parameter_matched
4,Plain,1.0353722988923677,7,1.208701965604492,0.9165708033184259,0.3525876972164648,B_parameter_matched
