controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,34,0.68,0.6,0.5973348892777361,0.6825813460745077,0.5976216701642937,0.289441839198366,0.047206415998516604,optimal
linear,35,0.7000000000000001,0.6,0.5965590138889966,0.66917200958815,0.5968458434955277,0.28515868790248217,0.035683166002854705,optimal
linear,36,0.72,0.6,0.5961242911423306,0.655392666249597,0.5964109265826085,0.2815583624255868,0.035837208008160815,optimal
linear,37,0.74,0.6,0.5959657570164978,0.64210113723992,0.5962522274843572,0.2786589894372017,0.03616070898715407,optimal
linear,38,0.76,0.6,0.5960201542730473,0.6299040542115045,0.5963065771442178,0.2764403885153351,0.036268249998101965,optimal
linear,39,0.78,0.6,0.5962289803465379,0.6191891662660935,0.5965154987892053,0.27485053191835745,0.036322416010079905,optimal
linear,40,0.8,0.6,0.5965404762279634,0.6101606697559125,0.5968272583751276,0.2738144765575344,0.03673133300617337,optimal
linear,41,0.8200000000000001,0.6,0.5969107226688182,0.6028759840628686,0.5971980141022935,0.27324420394554283,0.05210383399389684,optimal
linear,42,0.84,0.6,0.5973040157482082,0.5972816619164826,0.5975919472908658,0.2730472583771313,0.035554375004721805,optimal
linear,43,0.86,0.6,0.5976926910317867,0.5932447227904575,0.5979813910696986,0.2731336388507049,0.03559245800715871,optimal
linear,44,0.88,0.6,0.5980565503622343,0.5905819522321634,0.5983459451934855,0.2734210603102609,0.03557841599103995,optimal
