seed,model,best_val_nrmse,best_val_nrmse_percent,best_epoch,final_val_nrmse,final_val_nrmse_percent,test_nrmse,test_nrmse_percent,max_shared_initial_parameter_difference,avg_training_time_per_epoch_sec,total_parameters,trainable_parameters,comparison
0,ResDyNet,0.12447455745199326,12.447455745199326,54,0.1730845697341399,17.308456973413993,0.09737933668973411,9.737933668973412,0.0,0.07254828334000195,18991,18991,A_same_width
0,Plain,0.17219034818540074,17.219034818540074,98,0.2199539410613119,21.99539410613119,0.11727333104127073,11.727333104127073,0.0,0.07254828334000195,18822,18822,A_same_width
1,ResDyNet,0.14124886910041995,14.124886910041996,88,0.15181155545536706,15.181155545536706,0.09470807548407828,9.470807548407828,0.0,0.07192885583994212,18991,18991,A_same_width
1,Plain,0.1555831932219686,15.558319322196859,92,0.1640795916588274,16.40795916588274,0.11305590031194475,11.305590031194475,0.0,0.07192885583994212,18822,18822,A_same_width
2,ResDyNet,0.13709571624382122,13.709571624382122,53,0.13922027789587935,13.922027789587935,0.09575034736215472,9.575034736215473,0.0,0.07108931000024313,18991,18991,A_same_width
2,Plain,0.17484566390620504,17.484566390620504,74,0.1882525361157584,18.82525361157584,0.1511914235468638,15.11914235468638,0.0,0.07108931000024313,18822,18822,A_same_width
3,ResDyNet,0.14795125102288365,14.795125102288365,48,0.15984429881899456,15.984429881899457,0.10752266946447875,10.752266946447875,0.0,0.07114969415997621,18991,18991,A_same_width
3,Plain,0.17926488092313947,17.926488092313946,100,0.17926488092313947,17.926488092313946,0.13800646310579714,13.800646310579715,0.0,0.07114969415997621,18822,18822,A_same_width
4,ResDyNet,0.14559248950560888,14.559248950560889,87,0.16288989781772242,16.28898978177224,0.10352962322078173,10.352962322078172,0.0,0.07155358916003024,18991,18991,A_same_width
4,Plain,0.178106162997805,17.8106162997805,85,0.2406688062203846,24.06688062203846,0.16627573747631882,16.62757374763188,0.0,0.07155358916003024,18822,18822,A_same_width
