controller,k,t,reference,y,u,x1_simulator_only,x2_simulator_only,predicted_y0,mpc_cost,solve_time_sec,qp_status
linear,0,0.0,4.0,3.240024177427773,4.406285257176324,3.2074646062725667,4.046476286754921,3.1958723566808196,27.95633259852879,0.057446958002401516,optimal
linear,1,4.0,4.0,4.046476286754921,6.173871372468926,6.23582904522,5.790784028119489,3.188010820238394,30.511203307284166,0.048868290992686525,optimal
linear,2,8.0,4.0,5.790784028119489,6.5,8.573075890955444,8.06219387170278,3.450777403044838,10.341733695739457,0.048961458989651874,optimal
linear,3,12.0,4.0,8.06219387170278,2.975397251652628,6.650493430432762,10.041830470824323,4.1460771674927095,14.453823536192015,0.04821416700724512,optimal
linear,4,16.0,4.0,10.041830470824323,0.3999999999999999,2.8665469977604614,10.851827313303113,5.280868906139275,384.4831767475941,0.055135166010586545,optimal
linear,5,20.0,4.0,10.851827313303113,0.3999999999999999,0.7871211013676566,10.286143966133096,6.7143231131275645,1652.8684964735164,0.08045079198200256,optimal
linear,6,24.0,4.0,10.286143966133096,0.3999999999999999,0.11468545468952297,8.73427368510096,8.110522051762421,7851.03705063486,0.05024095901171677,optimal
linear,7,28.0,4.0,8.73427368510096,0.3999999999999999,0.05870219713171078,6.927119948511283,9.089494518497863,20066.85417536921,0.04907645800267346,optimal
linear,8,32.0,4.0,6.927119948511283,0.3999999999999999,0.0576171701004966,5.335871412700101,9.437995542133248,25451.930933065625,0.0564035419956781,optimal
linear,9,36.0,4.0,5.335871412700101,0.3999999999999999,0.05760026624297762,3.9970582818611105,9.182139294504653,22522.60790750516,0.049039707984775305,optimal
linear,10,40.0,4.0,3.9970582818611105,0.3999999999999999,0.05760000412811815,2.9011528650357343,8.48558224923942,14851.378031925406,0.047129916987614706,optimal
linear,11,44.0,4.0,2.9011528650357343,0.3999999999999999,0.0576000000640067,2.034723553242792,7.510554104047589,5517.004514328637,0.04975195901351981,optimal
linear,12,48.0,4.0,2.034723553242792,0.3999999999999999,0.0576000000009924,1.3801496595074925,6.398716312945986,1718.328573416232,0.04677312501007691,optimal
linear,13,52.0,4.0,1.3801496595074925,0.3999999999999999,0.057600000000015354,0.914255066666789,5.266155425496765,678.0722254508119,0.048417458980111405,optimal
linear,14,56.0,4.0,0.914255066666789,0.39999999999999947,0.057600000000000075,0.6071537105141103,4.200108025495118,154.13510484190942,0.07649350000428967,optimal
linear,15,60.0,4.0,0.6071537105141103,2.4847058835392644,1.3029345446004448,1.2594496048604482,3.2573848787678643,109.85106182418993,0.047777333995327353,optimal
linear,16,64.0,4.0,1.2594496048604482,6.5,5.398692303149079,3.0830790998019806,2.4924182707851283,481.7900324033618,0.04763425001874566,optimal
linear,17,68.0,4.0,3.0830790998019806,6.5,7.99834778919722,5.58852342357885,2.142614829364814,4996.855767517251,0.04739412499475293,optimal
linear,18,72.0,4.0,5.58852342357885,6.5,9.815163668377123,8.273230423701687,2.3703009463095612,9283.910623804404,0.04722291699727066,optimal
linear,19,76.0,4.0,8.273230423701687,6.5,11.133034177055043,10.978664992040176,3.2309417729499716,8996.838490685512,0.0501142920111306,optimal
linear,20,80.0,4.0,10.978664992040176,6.5,12.108679516640217,13.63246136389974,4.625997676084664,4181.244550879921,0.047040667006513104,optimal
linear,21,84.0,4.0,13.63246136389974,6.5,12.84021835844301,16.19771226306145,6.4218801760354784,593.5097802618258,0.04728354199323803,optimal
linear,22,88.0,4.0,16.19771226306145,1.106540863373596,7.800506978798215,17.973777409519226,8.486652510387364,603.4483142363164,0.07608429199899547,optimal
linear,23,92.0,4.0,17.973777409519226,0.3999999999999999,3.5975337537758962,18.301651166635935,10.636087329502942,2533.08835862093,0.04815204199985601,optimal
linear,24,96.0,4.0,18.301651166635935,0.3999999999999999,1.132653099514829,17.273871814794123,12.689270160539689,15116.807571128249,0.047672040993347764,optimal
linear,25,100.0,4.0,17.273871814794123,0.3999999999999999,0.17983310825730328,15.190695722932968,14.27963064130186,42128.42193834019,0.04927516702446155,optimal
linear,26,104.0,4.0,15.190695722932968,0.3999999999999999,0.06051274539393767,12.68454688567974,15.136473100885816,69586.59518472516,0.04730816598748788,optimal
linear,27,108.0,4.0,12.68454688567974,0.3999999999999999,0.05764572414135253,10.359114090814895,15.140674178417289,88286.80311736841,0.04636983398813754,optimal
linear,28,112.0,4.0,10.359114090814895,0.3999999999999999,0.057600709094079376,8.303554806704707,14.388443177454633,97901.92349757497,0.04636262499843724,optimal
linear,29,116.0,4.0,8.303554806704707,0.3999999999999999,0.0576000109945799,6.5145476547245265,13.14418844476753,100710.17165861247,0.046309041004860774,optimal
linear,30,120.0,4.0,6.5145476547245265,0.3999999999999999,0.0576000001704716,4.985216257387065,11.666067691116051,98397.94327530402,0.05051945900777355,optimal
linear,31,124.0,4.0,4.985216257387065,0.3999999999999999,0.05760000000264314,3.706894612837196,10.165242978198458,91602.31972155633,0.07099187499261461,optimal
linear,32,128.0,4.0,3.706894612837196,0.3999999999999999,0.057600000000040945,2.6685237797265993,8.796254271755455,81558.81345254427,0.04737174999900162,optimal
linear,33,132.0,4.0,2.6685237797265993,0.3999999999999999,0.05760000000000061,1.855753380935993,7.652980596193643,66194.5538025151,0.04769937499077059,optimal
linear,34,136.0,4.0,1.855753380935993,0.3999999999999999,0.057599999999999985,1.249735031048923,6.7698518434840365,45061.07559935946,0.04731475000153296,optimal
linear,35,140.0,4.0,1.249735031048923,0.3999999999999999,0.057599999999999985,0.8257277445861496,6.128058158286786,25478.446286025774,0.047187541000312194,optimal
linear,36,144.0,4.0,0.8257277445861496,0.399999999999999,0.057599999999999735,0.5521649155048338,5.665977362678028,10449.526442484033,0.048005832999479026,optimal
linear,37,148.0,4.0,0.5521649155048338,0.3999999999999999,0.05759999999999995,0.39179516302599604,5.29262507510009,3934.741205848648,0.05276750001939945,optimal
linear,38,152.0,4.0,0.39179516302599604,6.5,4.735110483404417,2.081450694558577,4.9027738014847895,21864.820555584753,0.05094300000928342,optimal
linear,39,156.0,4.0,2.081450694558577,6.5,7.550958676980125,4.619742923952438,4.47387332076594,53358.2728331712,0.07340937500703149,optimal
linear,40,160.0,4.0,4.619742923952438,6.5,9.496159009994566,7.351741626703572,4.2827538692830025,86641.5215869442,0.04699679199256934,optimal
linear,41,164.0,4.0,7.351741626703572,6.5,10.8992233619535,10.107798565251485,4.418287085633098,112343.79506229296,0.046883416012860835,optimal
linear,42,168.0,4.0,10.107798565251485,6.5,11.934495597858632,12.812204364995734,4.812635739705409,124589.65608836667,0.04716275000828318,optimal
linear,43,172.0,4.0,12.812204364995734,6.5,12.709076601649276,15.426641831101376,5.399493364296539,120125.6103110938,0.04752474999986589,optimal
linear,44,176.0,4.0,15.426641831101376,6.5,13.293962613667683,17.931361025899335,6.145152175250269,98342.12243187705,0.047086416016099975,optimal
linear,45,180.0,4.0,17.931361025899335,6.5,13.738433144183496,20.3169315562402,7.055495800571159,60763.28484639329,0.049705457990057766,optimal
linear,46,184.0,4.0,20.3169315562402,6.499999999999998,14.077739978561416,22.58003169270754,8.171554543032363,23756.017808041783,0.047912375011947006,optimal
linear,47,188.0,4.0,22.58003169270754,5.921154306402236,13.727963507244814,24.654961700404257,9.558249283051584,6842.018625350771,0.07384250001632608,optimal
linear,48,192.0,4.0,24.654961700404257,0.3999999999999999,7.726708858111104,25.81103581338317,11.281551501941266,46132.03697526468,0.0464474160107784,optimal
linear,49,196.0,4.0,25.81103581338317,0.3999999999999999,3.54970165813843,25.47623532204108,13.326256700587589,123254.05999244697,0.04752870902302675,optimal
linear,50,200.0,4.0,25.47623532204108,0.3999999999999999,1.1089265701549778,23.832732661583208,15.620427526009191,229369.46848338278,0.04640087499865331,optimal
linear,51,204.0,4.0,23.832732661583208,0.3999999999999999,0.17458898829603653,21.164510908447365,17.838622884756006,333117.75100081926,0.046303957991767675,optimal
linear,52,208.0,4.0,21.164510908447365,0.3999999999999999,0.060344065768061776,18.096470283272552,19.767098866933107,421329.4953579433,0.04611787499743514,optimal
linear,53,212.0,4.0,18.096470283272552,0.3999999999999999,0.05764304557213254,15.220700331826372,21.2816983835507,485444.18220325786,0.0462017499958165,optimal
linear,54,216.0,4.0,15.220700331826372,0.3999999999999999,0.05760066754694985,12.623332961466453,22.39084709389589,522941.721989875,0.046232958004111424,optimal
linear,55,220.0,4.0,12.623332961466453,0.3999999999999999,0.05760001035038535,10.30263631948636,23.177923595771563,534706.724288808,0.0753995830018539,optimal
linear,56,224.0,4.0,10.30263631948636,0.3999999999999999,0.057600000160483326,8.25400332564588,23.637919346204566,518941.29612093273,0.04613804098335095,optimal
linear,57,228.0,4.0,8.25400332564588,0.3999999999999999,0.05760000000248827,6.471798466737664,23.700554200805872,473362.26417630736,0.04712395800743252,optimal
linear,58,232.0,4.0,6.471798466737664,0.3999999999999999,0.05760000000003855,4.9490703704279175,23.284209070987576,399051.6566922825,0.047233125020284206,optimal
linear,59,236.0,4.0,4.9490703704279175,0.3999999999999999,0.05760000000000057,3.6770996590828764,22.33589904323836,302642.7926206517,0.04729441599920392,optimal
linear,60,240.0,4.0,3.6770996590828764,0.3999999999999999,0.057599999999999985,2.644754931917369,20.83162374755286,194395.64836096423,0.04734150000149384,optimal
linear,61,244.0,4.0,2.644754931917369,0.3999999999999999,0.057599999999999985,1.8375860908145212,18.76182209962188,86844.45190669034,0.04675191699061543,optimal
linear,62,248.0,4.0,1.8375860908145212,0.3999999999999999,0.057599999999999985,1.2366101279504638,16.139373460686922,35175.31782129109,0.06868566700723022,optimal
linear,63,252.0,4.0,1.2366101279504638,6.5,4.735110483404417,2.674528040508076,13.006836786842474,66550.51608590799,0.05055650000576861,optimal
linear,64,256.0,4.0,2.674528040508076,6.5,7.550958676980125,5.098227692963491,9.520547491846733,149638.6128363408,0.06830787498620339,optimal
linear,65,260.0,4.0,5.098227692963491,6.5,9.496159009994566,7.7588057567717765,6.171615596834869,249945.6333476606,0.046346165996510535,optimal
linear,66,264.0,4.0,7.7588057567717765,6.5,10.8992233619535,10.463698717223329,3.239069618797633,342193.39304127195,0.04632358401431702,optimal
linear,67,268.0,4.0,10.463698717223329,6.5,11.934495597858632,13.128658460096691,0.8545343037341242,411061.63228474243,0.046102583000902086,optimal
linear,68,272.0,4.0,13.128658460096691,6.5,12.709076601649276,15.71127688163014,-0.8643673175434197,443897.1027561597,0.04631304100621492,optimal
linear,69,276.0,4.0,15.71127688163014,6.5,13.293962613667683,18.189531494844903,-1.827864280481764,434246.405033477,0.04620849998900667,optimal
linear,70,280.0,4.0,18.189531494844903,6.5,13.738433144183496,20.552599963309213,-1.9757519082050656,382550.7390708648,0.04603200001292862,optimal
linear,71,284.0,4.0,20.552599963309213,6.5,14.077739978561416,22.79624664444562,-1.2584016772704727,294892.7561682777,0.0496565829962492,optimal
linear,72,288.0,4.0,22.79624664444562,6.5,14.337627763576375,24.920255321455926,0.3629920173050998,181731.70274957962,0.09260291699320078,optimal
linear,73,292.0,4.0,24.920255321455926,6.5,14.537176314495257,26.926897385103103,2.912407774908541,57298.72515121501,0.048424708016682416,optimal
linear,74,296.0,4.0,26.926897385103103,0.3999999999999999,8.322830427954418,28.077083491853422,6.350433958170379,5750.0951906017835,0.05255395799758844,optimal
linear,75,300.0,4.0,28.077083491853422,0.3999999999999999,3.9393364256057013,27.732953657059806,10.475785133504274,114857.37439741685,0.04692370799602941,optimal
linear,76,304.0,4.0,27.732953657059806,0.3999999999999999,1.306185983367925,26.066604150151022,15.042884356860476,297544.9853796566,0.047553291980875656,optimal
linear,77,308.0,4.0,26.066604150151022,0.3999999999999999,0.22140166193049102,23.33706244024989,19.53788762982831,494936.7002573848,0.04672787498566322,optimal
linear,78,312.0,4.0,23.33706244024989,0.3999999999999999,0.06199927476214507,20.119892168584176,23.549514192548862,676368.6534615876,0.04742162500042468,optimal
linear,79,316.0,4.0,20.119892168584176,0.3999999999999999,0.05766949251469781,17.06110442360386,26.789147414291207,816382.0209230798,0.04745191699475981,optimal
resdynet_ltv,0,0.0,4.0,3.240024177427773,5.1166330708978105,3.8459471346508285,4.204983553638401,3.2638939423412343,11.328602765515244,0.07981633298913948,optimal
resdynet_ltv,1,4.0,4.0,4.204983553638401,6.5,6.9644908387518445,6.143738140572257,2.7536270044479774,51.6935892810489,0.05168708399287425,optimal
resdynet_ltv,2,8.0,4.0,6.143738140572257,6.5,9.08169359891518,8.528541821339891,3.014575573426803,23.82872762161802,0.05254116698051803,optimal
resdynet_ltv,3,12.0,4.0,8.528541821339891,5.573699115151424,9.64538053994537,10.932692919628856,3.5270981731043154,4.840210031168861,0.05196479201549664,optimal
resdynet_ltv,4,16.0,4.0,10.932692919628856,1.3354412577425137,5.755724264247804,12.571659591939257,4.3182124181937995,11.855369688980062,0.05190724998828955,optimal
resdynet_ltv,5,20.0,4.0,12.571659591939257,0.40000000000001457,2.322167138785981,12.837684072375014,5.734219166031316,92.06009737140877,0.05254141701152548,optimal
resdynet_ltv,6,24.0,4.0,12.837684072375014,0.3999999999999999,0.5578617577003189,11.81396379428942,7.171864286519037,299.6285986822502,0.050971666001714766,optimal
resdynet_ltv,7,28.0,4.0,11.81396379428942,0.3999999999999999,0.08541020433738124,9.933603982534189,8.445666854940837,659.4586290847576,0.050940917019033805,optimal
resdynet_ltv,8,32.0,4.0,9.933603982534189,0.3999999999999999,0.05808243648853195,7.95062812024524,9.21870699619703,956.3909405949304,0.07720916598918848,optimal
resdynet_ltv,9,36.0,4.0,7.95062812024524,0.3999999999999999,0.057607495624477194,6.210851536121779,9.504730938584803,1038.4567900382253,0.049386833008611575,optimal
resdynet_ltv,10,40.0,4.0,6.210851536121779,0.4000000000000008,0.05760011622383343,4.728901558552498,9.59721636480992,952.0973781130472,0.04903791699325666,optimal
resdynet_ltv,11,44.0,4.0,4.728901558552498,0.3999999999999999,0.05760000180205843,3.4961035799441738,9.094123234183169,723.9492741737074,0.04859412499354221,optimal
