seed,checkpoint_epoch,trajectory,kind,E_aff_enc,E_aff_roll,affine_rmse_enc,affine_rmse_roll,affine_r2_enc,affine_r2_roll,propagated_output_nrmse
1,72,random_steps_nominal,nominal,1.2578128917084541e-05,5.4133943194756284e-06,8.051565964706242e-05,3.465257759671658e-05,1.0,1.0,7.791292773617897e-06
1,72,random_steps_fast,nominal,4.177316077402793e-05,8.325156159116887e-06,0.00015504148905165493,3.089928941335529e-05,1.0,1.0,1.1601017831708305e-05
1,72,random_steps_slow,nominal,8.614734724687878e-06,5.582332050835248e-06,4.6645960537716746e-05,3.0226607123040594e-05,1.0,1.0,6.170536835270468e-06
1,72,multisine,nominal,5.2641321417468134e-06,7.512259344366612e-06,1.744236215017736e-05,2.4891680368455127e-05,1.0,1.0,9.738349945109803e-06
1,72,chirp,nominal,8.72739838087e-06,5.406401214713696e-06,4.123321195947938e-05,2.554308775870595e-05,1.0,1.0,8.21032517706044e-06
1,72,constant_positive,stress_ood,1.7484281897850451e-06,6.050643605703954e-06,7.523896783823147e-06,2.6037405405077152e-05,1.0,1.0,0.0001433085126336664
1,72,constant_negative,stress_ood,2.960224492198904e-06,4.660984814108815e-06,1.3000992112210952e-05,2.0470924937399104e-05,1.0,1.0,4.8043770220829174e-05
1,72,free_response,stress_ood,2.3232096282299608e-05,2.4541466700611636e-05,7.1718332037562504e-06,7.576139523735037e-06,1.0,1.0,6.3626270275563e-05
1,72,random_steps_large_amplitude,stress_ood,1.9356994016561657e-05,6.46451690045069e-06,0.00018399122927803546,6.144634244265035e-05,1.0,1.0,7.95773939898936e-06
1,72,combined,nominal,6.978678811719874e-06,6.514711913041538e-06,3.113970160484314e-05,2.9069773518131115e-05,1.0,1.0,1.0833969099621754e-05
