epoch,val_output_nrmse,wall_time_sec
0,0.00023167404783862718,0.4006850419973489
1,0.006109666856919985,5.77216712498921
2,0.03569303667484464,11.103037124994444
3,0.0003015805401485902,16.358135999995284
4,0.00028309365903505943,21.64743462498882
5,0.0007335943161554206,27.622610416990938
6,0.0002904418720919578,32.94556145800743
7,0.0005789347905131521,38.32565737501136
8,0.0004919970266458978,43.65070004199515
9,0.001720030399855316,48.93070304198773
10,0.0010299838842384246,54.34406075000879
11,0.002640869084412946,60.51875554199796
12,0.0032832337539269096,65.98340820800513
13,0.004665820920771329,71.27892341700499
14,0.00015510170800615134,76.46654249998392
15,0.00023073799566571682,81.660778999998
16,0.0004965045453979448,86.90916616699542
17,6.558093311965384e-05,92.0656669169839
18,0.0018973452801466252,97.23744649998844
19,7.171949875096057e-05,102.52504970799782
20,0.0004540255722811627,107.78933299999335
21,0.00021473155728561044,112.97664308300591
22,0.0005644376863670529,118.23738483298803
23,0.00013332400074311148,123.49607895800727
24,0.0006213129468016781,128.72444137500133
25,7.273495193467755e-05,133.90372295799898
26,0.000739193449326665,139.08761208300712
27,3.100715026541107e-05,144.26621570799034
28,2.2254650117037374e-05,149.4894394169969
29,2.6751747135891124e-05,154.70224979199702
30,0.0001128525721806527,159.9017584999965
31,2.4840736449240274e-05,165.16574699999182
32,4.1798076965779495e-05,170.41980862501077
33,0.0007930088954217219,175.70985662500607
34,3.532634403916562e-05,181.14239087500027
35,0.0016227708969628097,186.3649066670041
36,3.266610886599293e-05,191.57887550001033
37,0.0051556437292233455,196.80123645800631
38,3.947243288018875e-05,201.9804552079877
39,2.3208968831073068e-05,207.19623112500994
40,1.7174863587284554e-05,212.41828754200833
41,4.183390726264593e-05,217.7071805000014
42,2.8142346352799887e-05,222.82414108299417
43,6.23693594905878e-05,228.00442883299547
44,0.00015937942388314865,233.22332849999657
45,0.00016409600705435755,238.44984120799927
46,0.0013198292827439847,243.78490220798994
47,0.0008031309657201865,249.08734583298792
48,0.00011926348256286869,254.28243154200027
49,0.00029569956012477817,259.43058758298866
50,4.682165139985404e-05,264.6082538749906
51,3.086539606455465e-05,269.7567601669871
52,0.0004540529676474884,274.91159387500375
53,8.1867975076045e-06,280.06214604200795
54,0.0012813673548133714,285.2223403750104
55,2.450784626728784e-05,290.36515395800234
56,0.007653537750189336,295.51049266700284
57,4.7180753588683384e-05,300.6827579170058
58,3.634146822039068e-05,305.8847384999972
59,5.163133673979471e-05,311.0529357919877
60,3.08596168715278e-05,316.1907151250052
61,3.307662752711039e-05,321.33512166698347
62,0.00010716277155479723,326.4790723749902
63,0.0005124093290561237,331.62350020799204
64,4.233576454551926e-05,336.8299283749948
65,2.09680607188697e-05,341.9775153329829
66,0.0004672253035790581,347.1223152919847
67,0.0001339250101062898,352.2628614580026
68,0.0012573620632997137,357.41076704199077
69,1.9216332074683717e-05,362.9311417499848
70,0.0041509592175225166,368.0819974580081
71,2.4552608350900025e-05,373.2518186669913
72,8.071631065624801e-06,378.3972531250038
73,0.00021332848187656986,383.541143999988
74,2.6877561499749725e-05,388.6904875829932
75,1.617326727079016e-05,393.8300831670058
76,9.603878306673457e-06,398.98106429199106
77,0.0005704422370704076,404.11364116700133
78,7.080924264339234e-05,409.2672748329933
79,0.0009023359085781903,414.4237260000082
80,2.5391939816553896e-05,419.5632227080059
