model,num_seeds,trainable_parameters,best_val_nrmse_mean,best_val_nrmse_std,best_epoch_mean,best_epoch_std,final_val_nrmse_mean,final_val_nrmse_std,test_nrmse_mean,test_nrmse_std,avg_training_time_per_epoch_sec_mean,avg_training_time_per_epoch_sec_std,comparison
ResDyNet,5,27273,0.36897751073385215,0.03324323670350372,39.0,21.575449010391416,0.413283874369093,0.0392912232479694,0.24923027345265644,0.03719727876718683,0.31757067110981246,0.0087886513248732,A_same_width
Plain,5,26392,1.0452104094566106,0.014285615183372307,8.8,0.8366600265340756,1.2539598573588797,0.03504872906572882,0.8998783319235368,0.028391968531098332,0.31757067110981246,0.0087886513248732,A_same_width
