seed,model,best_val_nrmse,best_epoch,final_val_nrmse,test_nrmse,avg_training_time_per_epoch_sec,comparison
0,ResDyNet,0.38149209007427465,54,0.40870345980972295,0.2274220847313156,0.3125729652664935,A_same_width
0,Plain,1.026142630018818,10,1.2394626947981722,0.8762385180064328,0.3125729652664935,A_same_width
1,ResDyNet,0.37511401048628573,18,0.4130328206729467,0.22857771121858547,0.3093527548665103,A_same_width
1,Plain,1.035688815983974,9,1.241283273082027,0.9138975553243373,0.3093527548665103,A_same_width
2,ResDyNet,0.31224135263889136,57,0.3531917582033536,0.21494470929918558,0.31580442639969986,A_same_width
2,Plain,1.0611930869088537,9,1.2277038614588394,0.8638773635086615,0.31580442639969986,A_same_width
3,ResDyNet,0.3761467279503311,13,0.460503026429375,0.30360228124515737,0.31795166179993734,A_same_width
3,Plain,1.0551991259591753,8,1.2458462626399691,0.9308224697060292,0.31795166179993734,A_same_width
4,ResDyNet,0.39989337251947793,53,0.43098830673006666,0.27160458076903815,0.33217154721642145,A_same_width
4,Plain,1.047828388412232,8,1.3155031948153912,0.9145557530722241,0.33217154721642145,A_same_width
