seed,model,epoch,train_loss,val_loss,val_rmse,val_nrmse,wall_time_sec,comparison
0,ResDyNet,0,1.6233038908096242,1.3548185190643673,1.1639667173353228,1.1263934497160195,0.012706333014648408,A_same_width
0,Plain,0,1.0920099668433478,1.9500832764207485,1.3964538218003302,1.3513757861631766,0.027736332995118573,A_same_width
0,ResDyNet,1,1.2471938842971717,2.1842178961976964,1.4779099756743292,1.430202505859063,0.3416493750119116,A_same_width
0,Plain,1,1.0510562043712621,2.04929285907736,1.4315351407064236,1.3853246673766233,0.3537932909966912,A_same_width
0,ResDyNet,2,0.9648428861297305,1.8314199917981284,1.3532996681438034,1.3096146642317605,0.6579036659968551,A_same_width
0,Plain,2,1.001295944689922,2.1528524242564577,1.4672601760616477,1.41989648563885,0.6699795410095248,A_same_width
0,ResDyNet,3,0.779549618470221,1.1910670626776585,1.0913601892490208,1.0561306866790658,0.9691889999958221,A_same_width
0,Plain,3,1.0129111777025581,2.2363451572885023,1.495441458997477,1.4471680665446873,0.9817960830114316,A_same_width
0,ResDyNet,4,0.6159365539175028,0.8328132275328954,0.9125860110328754,0.8831274037484091,1.2820808330143336,A_same_width
0,Plain,4,1.0031567405170523,2.1535562746117156,1.4675000083855931,1.42012857608843,1.294951374991797,A_same_width
0,ResDyNet,5,0.4605435098534658,1.210246452685313,1.1001120182441937,1.0646000034613923,1.5934654579905327,A_same_width
0,Plain,5,0.9976576180898301,2.0356023188814163,1.4267453588084373,1.3806895013747882,1.6055945830012206,A_same_width
0,ResDyNet,6,0.4029237155657556,1.1089675383002313,1.053075276654158,1.019081624942552,1.9045145830023102,A_same_width
0,Plain,6,0.9979842974725661,2.0329398070131584,1.425811981648758,1.3797862539682093,1.916525458014803,A_same_width
0,ResDyNet,7,0.370023651951297,1.0777173050145263,1.0381316414667874,1.0046203757166852,2.2216333330143243,A_same_width
0,Plain,7,0.9946885846205848,2.1522984925916004,1.467071399963751,1.4197138033018324,2.2335142499941867,A_same_width
0,ResDyNet,8,0.31036943472408735,1.1473846764890925,1.0711604345237424,1.0365829873595251,2.5317285830096807,A_same_width
0,Plain,8,0.9926253714618198,2.1845960375375792,1.4780379012520548,1.4303263019527617,2.543502082990017,A_same_width
0,ResDyNet,9,0.2886610312112137,0.9833702625321118,0.9916502722896373,0.9596394419878982,2.8414718749991152,A_same_width
0,Plain,9,0.9807236281717364,2.1731905163463843,1.4741745203151437,1.4265876323531215,2.853335249994416,A_same_width
0,ResDyNet,10,0.3091343527186527,1.1913804538618824,1.0915037580612732,1.0562696210380094,3.1566802500165068,A_same_width
0,Plain,10,0.722032797623373,1.124388389626208,1.0603718166879992,1.026142630018818,3.1686430409899913,A_same_width
0,ResDyNet,11,0.2609446138443374,1.1543745942214292,1.0744182585108228,1.0397356476072133,3.471823083003983,A_same_width
0,Plain,11,0.6832074949840138,1.125244544673062,1.0607754449802569,1.0265332290434706,3.4837118750147056,A_same_width
0,ResDyNet,12,0.24794658947368697,0.9488148869184982,0.9740712945767872,0.9426279200486898,3.7843185829988215,A_same_width
0,Plain,12,0.695325518189042,1.1922025358122241,1.0918802754021268,1.056633984262598,3.796208540996304,A_same_width
0,ResDyNet,13,0.22162064403901086,0.9145663368015214,0.9563296172353555,0.9254589504838954,4.097007083008066,A_same_width
0,Plain,13,0.698409247865963,1.288993233999441,1.135338378634071,1.0986892441669431,4.108869832998607,A_same_width
0,ResDyNet,14,0.21027669815056665,0.6561413412658116,0.8100255188978996,0.783877601481763,4.412924958014628,A_same_width
0,Plain,14,0.7137556782571957,1.5569207212238179,1.2477662927102247,1.2074879444171773,4.425203582999529,A_same_width
0,ResDyNet,15,0.1903358972029075,0.6003896105414521,0.774848120951101,0.7498357426938774,4.725192040990805,A_same_width
0,Plain,15,0.7130165633278169,1.5814756951040714,1.2575673719940699,1.2169726413084634,4.737400957994396,A_same_width
0,ResDyNet,16,0.1591049233629177,0.5388894898259934,0.7340909274919514,0.710394206215675,5.051952415989945,A_same_width
0,Plain,16,0.6909374938017463,1.7108022569856751,1.3079763977173575,1.2657544454061487,5.064239125000313,A_same_width
0,ResDyNet,17,0.11432726967408387,0.2733482344761744,0.5228271554502256,0.5059501053268834,5.364346249989467,A_same_width
0,Plain,17,0.6809775998937714,1.6643378508648556,1.2900921869637285,1.2484475434593767,5.376752208016114,A_same_width
0,ResDyNet,18,0.08412057670724657,0.1565458966169583,0.3956588133947711,0.38288680345650505,5.697302415996091,A_same_width
0,Plain,18,0.6746078977381218,1.5512790454344687,1.2455035308799685,1.205298225359142,5.709490708017256,A_same_width
0,ResDyNet,19,0.0840658307085885,0.2324454546805783,0.48212597387050027,0.4665627726443309,6.009282707993407,A_same_width
0,Plain,19,0.6717306150360886,1.5736076054946435,1.2544351738908806,1.21394155169559,6.021153083012905,A_same_width
0,ResDyNet,20,0.11197745104190228,0.2731252899527936,0.5226139014155609,0.5057437352097706,6.324179749994073,A_same_width
0,Plain,20,0.6788522687428826,1.5135357253129347,1.230258397781919,1.190545210684458,6.335989500017604,A_same_width
0,ResDyNet,21,0.09553041855500218,0.5836997054335966,0.7640024250181386,0.7393401497576225,6.638439916016068,A_same_width
0,Plain,21,0.7319663347847022,1.5925425572754301,1.2619598081061973,1.2212232879904605,6.650468083011219,A_same_width
0,ResDyNet,22,0.13513007876964214,0.22100712609807804,0.4701139501206894,0.454938501375995,6.950398790999316,A_same_width
0,Plain,22,0.7886648218134201,1.6275364492379367,1.2757493677199832,1.2345677156206556,6.962449540995294,A_same_width
0,ResDyNet,23,0.09555761054662869,0.3064523936167535,0.5535814245589835,0.5357116154791783,7.268419958010782,A_same_width
0,Plain,23,0.7812512529760199,1.6724730832887076,1.2932413089940746,1.2514950106889025,7.280290708004031,A_same_width
0,ResDyNet,24,0.0847908534222497,0.1865536738741006,0.43191859635132707,0.4179761074736258,7.581321208010195,A_same_width
0,Plain,24,0.7279309813410284,1.6310561505662515,1.2771280869851118,1.2359019293280658,7.5930942080158275,A_same_width
0,ResDyNet,25,0.07794109021293902,0.27634447655315236,0.5256847691850625,0.5087154742543624,7.892183791002026,A_same_width
0,Plain,25,0.6915086263606461,1.6433693206442324,1.2819396712186701,1.2405581938781765,7.9041218330094125,A_same_width
0,ResDyNet,26,0.07250279802260155,0.21617714158287407,0.4649485364885818,0.4499398291685974,8.204573416005587,A_same_width
0,Plain,26,0.6870611513213676,1.6367563611664242,1.2793577924749682,1.2380596591163537,8.216455749992747,A_same_width
0,ResDyNet,27,0.07300741794704486,0.2349497793785814,0.48471618435800284,0.4690693701982437,8.515705916011939,A_same_width
0,Plain,27,0.6778034465125445,1.6241059335215813,1.2744041484245023,1.2332659204917278,8.527758165990235,A_same_width
0,ResDyNet,28,0.07354181756280052,0.2324971216560641,0.4821795533367877,0.4666146225460219,8.826436541014118,A_same_width
0,Plain,28,0.6679563139719066,1.6966013118855774,1.3025364915754096,1.2604901414066427,8.83830187501735,A_same_width
0,ResDyNet,29,0.06835204670432711,0.20352178602628898,0.451133889246074,0.4365711237474308,9.137221250013681,A_same_width
0,Plain,29,0.6655886398923062,1.6685519263785826,1.2917244003186525,1.2500270683754622,9.149131332989782,A_same_width
0,ResDyNet,30,0.06478133588298632,0.22179672221419583,0.4709529936354539,0.4557504602619166,9.44830770799308,A_same_width
0,Plain,30,0.6556955286161908,1.741383456499498,1.319614889465672,1.2770172424214166,9.460011040995596,A_same_width
0,ResDyNet,31,0.06531477100544611,0.1853055667474699,0.43047133092398837,0.41657556029897225,9.758177250012523,A_same_width
0,Plain,31,0.6623769069826897,1.6949669027580878,1.3019089456479236,1.259882852889206,9.77004895801656,A_same_width
0,ResDyNet,32,0.060238392023374415,0.2343696106454783,0.4841173521425134,0.46848986850377045,10.068090250017121,A_same_width
0,Plain,32,0.6629485210029727,1.7398449662107573,1.3190318291120793,1.27645300346742,10.080175875016721,A_same_width
0,ResDyNet,33,0.0639789962481938,0.18778776252932597,0.43334485404735795,0.4193563250541543,10.380730583012337,A_same_width
0,Plain,33,0.6703246563655191,1.7481949804841705,1.3221932462708206,1.279512368934139,10.392440166004235,A_same_width
0,ResDyNet,34,0.060939645516580605,0.20165911706552234,0.4490647136722305,0.4345687419112685,10.691562249994604,A_same_width
0,Plain,34,0.6604215169689115,1.7055843466308798,1.3059802244409675,1.2638227093268117,10.703372332995059,A_same_width
0,ResDyNet,35,0.05678341710985295,0.16045602826283786,0.4005696297310093,0.38763909686104536,11.001672749989666,A_same_width
0,Plain,35,0.664824389375705,1.7881943944053351,1.3372338592801691,1.294067465502732,11.01322049999726,A_same_width
0,ResDyNet,36,0.056281793599641756,0.23652722979376312,0.4863406520061459,0.47064139944177125,11.312274374999106,A_same_width
0,Plain,36,0.6524482021696496,1.749773010089374,1.3227898586281095,1.2800897224282393,11.324291916011134,A_same_width
0,ResDyNet,37,0.0560730302134895,0.17778536776751333,0.4216460218803367,0.4080351354307713,11.624408375006169,A_same_width
0,Plain,37,0.6576982747625304,1.7769432938166592,1.3330203651169996,1.289989984458707,11.63590141601162,A_same_width
0,ResDyNet,38,0.05934969600906097,0.20474446029413204,0.45248697251316755,0.4378805289961167,11.936012165999273,A_same_width
0,Plain,38,0.6615934635007037,1.816660091205065,1.3478353353451842,1.3043267220769164,11.947626333014341,A_same_width
0,ResDyNet,39,0.055487229731757834,0.20057637909273932,0.44785754330226407,0.43340053943849133,12.247829708008794,A_same_width
0,Plain,39,0.6646645523783784,1.7895377709329023,1.3377360617599057,1.2945534567043546,12.259934083005646,A_same_width
0,ResDyNet,40,0.05674050119110779,0.1820333983430099,0.4266537218201781,0.4128811850010664,12.557495874993037,A_same_width
0,Plain,40,0.5927543122184772,1.7708832933327956,1.330745390122692,1.2877884464819835,12.569069749995833,A_same_width
0,ResDyNet,41,0.05196604902263691,0.18828925536997976,0.4339230984517646,0.4199159035195503,12.867953665991081,A_same_width
0,Plain,41,0.5429237403932902,1.7261225361338624,1.3138198263589502,1.271409246052718,12.880000625009416,A_same_width
0,ResDyNet,42,0.05165704296671317,0.23255382018426096,0.4822383437515737,0.46667151518490474,13.178540207998594,A_same_width
0,Plain,42,0.5269942715829197,1.633432499765127,1.2780580971791256,1.2368019184558516,13.19002912499127,A_same_width
0,ResDyNet,43,0.05168563632712131,0.1638693496296781,0.40480779343989676,0.3917404511089089,13.489868291013408,A_same_width
0,Plain,43,0.5050528518676075,1.575166191437256,1.2550562503080314,1.2145425795408304,13.501668625016464,A_same_width
0,ResDyNet,44,0.05205095664062124,0.21583392011098096,0.4645792936743748,0.4495825056462981,13.799371708009858,A_same_width
0,Plain,44,0.4980588735628312,1.5655872058021467,1.2512342729489736,1.2108439769965402,13.8109379580128,A_same_width
0,ResDyNet,45,0.051634972494561546,0.18781668416319083,0.4333782229914083,0.4193886168365932,14.108579791005468,A_same_width
0,Plain,45,0.5026495294496324,1.7336859378403393,1.3166950815736873,1.2741916869867302,14.120190499990713,A_same_width
0,ResDyNet,46,0.051963299408744695,0.20024015989315846,0.4474820218658605,0.43303713997019616,14.417774916015333,A_same_width
0,Plain,46,0.6015250048409544,1.6060417058962584,1.2672970077674208,1.2263882009116749,14.429353915998945,A_same_width
0,ResDyNet,47,0.051407573043756656,0.1842327398259697,0.4292234148156059,0.415367927374987,14.731919540994568,A_same_width
0,Plain,47,0.6046215711670329,1.7469304033119688,1.3217149478279984,1.2790495101384531,14.743289790989365,A_same_width
0,ResDyNet,48,0.04972391458189442,0.18434231713232702,0.42935104184376566,0.41549143455640797,15.039255000010598,A_same_width
0,Plain,48,0.5287375442066456,1.6874966195433039,1.2990368045376173,1.2571034255352045,15.050800083001377,A_same_width
0,ResDyNet,49,0.048086939443219026,0.18481974391326983,0.4299066688401912,0.4160291257119523,15.347362666012486,A_same_width
0,Plain,49,0.5221902019495029,1.6706388341158087,1.2925319470387604,1.2508085471946775,15.358848875010153,A_same_width
0,ResDyNet,50,0.046090230390696325,0.20185483846405042,0.4492825819726939,0.43477957734400713,15.657723540993175,A_same_width
0,Plain,50,0.5127961144073134,1.6481527070372413,1.2838039986840832,1.2423623401771138,15.66942133300472,A_same_width
0,ResDyNet,51,0.04638614524284511,0.16929829405166946,0.4114587391849509,0.3981767019140833,15.969651583000086,A_same_width
0,Plain,51,0.4767617123478054,1.7841535098969634,1.3357220930631355,1.292604499647259,15.9811766250059,A_same_width
0,ResDyNet,52,0.046510901592419156,0.19503900176799946,0.44163220191466956,0.4273761543278195,16.27700183299021,A_same_width
0,Plain,52,0.43032681122829575,1.5425546174426028,1.2419962227972365,1.2019041344528578,16.288411000015913,A_same_width
0,ResDyNet,53,0.046388264061772766,0.2079792035202334,0.4560473698205411,0.4413259953876241,16.586532624991378,A_same_width
0,Plain,53,0.5320148431037927,1.7727397408793462,1.331442729102287,1.2884632751065044,16.598125582997454,A_same_width
0,ResDyNet,54,0.045968908973579165,0.15540749750997365,0.3942175763585049,0.38149209007427465,16.89486883301288,A_same_width
0,Plain,54,0.4924797364801964,1.8267150172050661,1.3515602159005222,1.3079313621375124,16.9068839160027,A_same_width
0,ResDyNet,55,0.042980459617789894,0.19178154728117006,0.43792870113886123,0.423792203899719,17.204202958004316,A_same_width
0,Plain,55,0.47872187588369586,1.7024369907129626,1.3047746896353265,1.2626560896217507,17.215704208007082,A_same_width
0,ResDyNet,56,0.04593217116441805,0.20002191654358312,0.4472380982693481,0.4328010903158111,17.511852458002977,A_same_width
0,Plain,56,0.4809761650843767,1.7173865081137447,1.3104909416374249,1.2681878189368552,17.52312462500413,A_same_width
0,ResDyNet,57,0.046957816658204365,0.1974493956807343,0.444352782910982,0.43000891398325336,17.819553708017338,A_same_width
0,Plain,57,0.4886891906657541,1.7016676990043134,1.304479857646071,1.2623707749159965,17.831093707995024,A_same_width
0,ResDyNet,58,0.04345903559750032,0.17794337014517086,0.4218333440414246,0.40821641076458764,18.12947579100728,A_same_width
0,Plain,58,0.46005605211264033,1.6603141436092024,1.2885317782690509,1.2469375053230727,18.140869249997195,A_same_width
0,ResDyNet,59,0.04212942148245282,0.16515210477914669,0.4063891051432687,0.3932707174972083,18.4360769999912,A_same_width
0,Plain,59,0.4330738948057274,1.7276467538125309,1.3143997694052334,1.271970468327215,18.447605499997735,A_same_width
0,ResDyNet,60,0.04527059978842795,0.17836823719196174,0.4223366396513115,0.40870345980972295,18.742853333009407,A_same_width
0,Plain,60,0.4448185027986617,1.6404681835778203,1.2808076294189616,1.2394626947981722,18.754377915989608,A_same_width
1,ResDyNet,0,1.1749352353705407,1.416888746195647,1.1903313598303824,1.1519070319931188,0.012112083990359679,A_same_width
1,Plain,0,1.0477333386244383,1.874819064045905,1.3692403236999358,1.3250407496474264,0.024188292009057477,A_same_width
1,ResDyNet,1,1.0058933678818736,2.552420232725033,1.597629566803592,1.5460575051836123,0.3204319590004161,A_same_width
1,Plain,1,1.0226746972108678,2.0780152438118273,1.4415322555571997,1.3949990717356688,0.331919416988967,A_same_width
1,ResDyNet,2,0.8547764620149574,1.711987037762638,1.308429225354829,1.2661926556033147,0.6290772089851089,A_same_width
1,Plain,2,1.009124141671893,2.2807880687687163,1.5102278201545343,1.4614771186029571,0.6406853749940637,A_same_width
