seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-Random,0,0,0.0,1.1263934497160195
0,ResDyNet-Random,1,12,0.30091208301018924,1.0985384316601199
0,ResDyNet-Random,2,24,0.5842700829962268,1.113407688030946
0,ResDyNet-Random,3,36,0.8660493330098689,1.198754718122007
0,ResDyNet-Random,4,48,1.1458859580161516,1.3390402077450398
0,ResDyNet-Random,5,60,1.425465250009438,1.3005578376081837
0,ResDyNet-Random,6,72,1.7057718330179341,1.1944940412046277
0,ResDyNet-Random,7,84,1.9837189580139238,1.0853342398957329
0,ResDyNet-Random,8,96,2.263120333023835,0.9483738910021695
0,ResDyNet-Random,9,108,2.5422422920237295,0.9645683970128137
0,ResDyNet-Random,10,120,2.821890125022037,0.9334051188654957
0,ResDyNet-LinearInit,0,0,0.0,0.5877139302058344
0,ResDyNet-LinearInit,1,12,0.27782645798288286,13380.702944224746
0,ResDyNet-LinearInit,2,24,0.555301624990534,209544.8274426463
0,ResDyNet-LinearInit,3,36,0.8362119159719441,8830.917548491421
0,ResDyNet-LinearInit,4,48,1.115423124982044,18616.183614003105
0,ResDyNet-LinearInit,5,60,1.3946631659928244,293398.40127978707
0,ResDyNet-LinearInit,6,72,1.6742928749881685,226385.29617888093
0,ResDyNet-LinearInit,7,84,1.9706909159722272,25417.157250416738
0,ResDyNet-LinearInit,8,96,2.2484879159892444,4341.371157437547
0,ResDyNet-LinearInit,9,108,2.541479540988803,6627.232206607449
0,ResDyNet-LinearInit,10,120,2.821823374979431,5249.74984218244
