model,num_seeds,total_parameters,trainable_parameters,best_val_nrmse_mean,best_val_nrmse_std,best_val_nrmse_percent_mean,best_val_nrmse_percent_std,best_epoch_mean,best_epoch_std,final_val_nrmse_mean,final_val_nrmse_std,final_val_nrmse_percent_mean,final_val_nrmse_percent_std,test_nrmse_mean,test_nrmse_std,test_nrmse_percent_mean,test_nrmse_percent_std,avg_training_time_per_epoch_sec_mean,avg_training_time_per_epoch_sec_std,comparison
ResDyNet,1,18991,18991,1.1995221584444422,0.0,119.95221584444423,0.0,1.0,0.0,1.1995221584444422,0.0,119.95221584444423,0.0,0.9250048105881887,0.0,92.50048105881888,0.0,0.08595637499820441,0.0,B_parameter_matched
Plain,1,18986,18986,1.2341416513893964,0.0,123.41416513893964,0.0,0.0,0.0,1.3360852251828834,0.0,133.60852251828834,0.0,1.0088892653078725,0.0,100.88892653078724,0.0,0.08595637499820441,0.0,B_parameter_matched
