seed,model,best_val_nrmse,best_epoch,final_val_nrmse,test_nrmse,training_time_sec,avg_training_time_per_epoch_sec
0,Random,0.34021033566844244,12,0.4308247047444408,0.29705841349018747,29.549516875005793,0.4924919479167632
0,N4SID-Joint,0.2891371842547012,20,0.30933651719738775,0.25386858933176903,29.549516875005793,0.4924919479167632
0,N4SID-Frozen,0.3326578811942123,37,0.33652390915079056,0.2811854504250533,29.549516875005793,0.4924919479167632
1,Random,0.35458241035329,30,0.3939953695254346,0.23312948426248684,30.077093166997656,0.5012848861166276
1,N4SID-Joint,0.19937364126754129,60,0.19937364126754129,0.17556366773138035,30.077093166997656,0.5012848861166276
1,N4SID-Frozen,0.21953571468309768,47,0.29365390575257083,0.1929094440212328,30.077093166997656,0.5012848861166276
2,Random,0.35386956189629726,35,0.414368158577478,0.24492391246093478,28.815506749990163,0.4802584458331694
2,N4SID-Joint,0.21658543139007275,53,0.32788618076285764,0.20675081389756367,28.815506749990163,0.4802584458331694
2,N4SID-Frozen,0.21201357084403055,41,0.27418622818300875,0.1849707365567646,28.815506749990163,0.4802584458331694
3,Random,0.38776647295483385,59,0.43214933762742647,0.22159754304304277,29.570705874997657,0.4928450979166276
3,N4SID-Joint,0.27737044063255234,43,0.3270449850415075,0.1963886396339612,29.570705874997657,0.4928450979166276
3,N4SID-Frozen,0.20948663828669725,46,0.22793432478113032,0.18962978981998885,29.570705874997657,0.4928450979166276
4,Random,0.3544660161289829,29,0.41569654573568837,0.23378453438904986,29.361604165984318,0.489360069433072
4,N4SID-Joint,0.2576992141189255,53,0.3057178319738201,0.1846096986170859,29.361604165984318,0.489360069433072
4,N4SID-Frozen,0.17577888686885138,53,0.20156103718679608,0.188770186173692,29.361604165984318,0.489360069433072
5,Random,0.37770943538841617,30,0.40765713845442875,0.20897157819032153,29.38532387500163,0.48975539791669387
5,N4SID-Joint,0.2612734019610493,51,0.3503005217714447,0.19160824838870513,29.38532387500163,0.48975539791669387
5,N4SID-Frozen,0.26958617081546393,55,0.31457122365340273,0.2529899103382601,29.38532387500163,0.48975539791669387
6,Random,0.33914166847942756,51,0.3496780783516825,0.2169887628829545,30.185911167005543,0.5030985194500924
6,N4SID-Joint,0.19275552820729933,33,0.30401413919333126,0.205637211063558,30.185911167005543,0.5030985194500924
6,N4SID-Frozen,0.224797787735515,35,0.2730922566131878,0.2294810915378455,30.185911167005543,0.5030985194500924
7,Random,0.37929070693467437,26,0.42589107220649036,0.24584654148578347,29.04317679197993,0.48405294653299885
7,N4SID-Joint,0.23233357521312825,60,0.23233357521312825,0.1972525010214267,29.04317679197993,0.48405294653299885
7,N4SID-Frozen,0.33997893892764197,21,0.3662771633734449,0.2923562868186664,29.04317679197993,0.48405294653299885
8,Random,0.37802382102555526,46,0.40256111363706165,0.22037200462576081,29.168650834006257,0.48614418056677094
8,N4SID-Joint,0.25948237124330836,12,0.38447750254725527,0.25660993675106486,29.168650834006257,0.48614418056677094
8,N4SID-Frozen,0.33962363772246307,14,0.3704792741950211,0.2602748459668987,29.168650834006257,0.48614418056677094
9,Random,0.38186123772827774,21,0.4436261940282136,0.25177651815683105,28.62924258300336,0.477154043050056
9,N4SID-Joint,0.2629354005580439,59,0.2722148923893757,0.19887221430287813,28.62924258300336,0.477154043050056
9,N4SID-Frozen,0.2196531100617958,43,0.24955024171360482,0.1841933920910158,28.62924258300336,0.477154043050056
