seed,model,epoch,train_loss,val_loss,val_rmse,val_nrmse,wall_time_sec
0,Random,0,1.5123747891715735,1.5619618556105979,1.2497847237066861,1.2094412197293125,0.013078332995064557
0,N4SID-Joint,0,0.7456230981045799,0.36883562433675365,0.6073183879455271,0.5877139302058413,0.025732917012646794
0,N4SID-Frozen,0,0.7456230981045799,0.36883562433675365,0.6073183879455271,0.5877139302058413,0.03860512500978075
0,Random,1,1.363993620856222,1.5102605751336218,1.228926594688886,1.1892563986780993,0.5274909170111641
0,N4SID-Joint,1,2.3885042925399387,0.7290267521028805,0.8538306343197581,0.8262686718967265,0.5416119169967715
0,N4SID-Frozen,1,1.8866017586391004,1.383646069201595,1.1762848588677808,1.138313957173999,0.5544993329967838
0,Random,2,1.0175879807846255,2.6566407947153934,1.6299204872371515,1.5773060629988478,1.0281713329895865
0,N4SID-Joint,2,0.4307491582216689,0.3700743624907001,0.6083373755497028,0.5887000245207312,1.0408052499988116
0,N4SID-Frozen,2,0.5241452783984349,0.4724480086844025,0.6873485350856599,0.6651606751822143,1.0536742080003023
0,Random,3,0.988917073782863,2.012657383548225,1.4186815652387343,1.3728860099849576,1.5226762919919565
0,N4SID-Joint,3,0.24624923184409964,0.30336553544889516,0.5507862883631864,0.5330067072931284,1.5353279169939924
0,N4SID-Frozen,3,0.30161345206474005,0.5949886727527545,0.7713550886282883,0.7464554667208068,1.5491662080166861
0,Random,4,0.9293163664627353,1.7425099358437646,1.3200416417082321,1.2774302189468723,2.0126731249911245
0,N4SID-Joint,4,0.14986382901968004,0.26184445411239,0.5117073911058838,0.49518929100692893,2.02511516699451
0,N4SID-Frozen,4,0.17009377837925652,0.3927797947204807,0.6267214650229245,0.6064906689208017,2.0381781249889173
0,Random,5,0.8843372284096452,2.0239638710617105,1.4226608418951125,1.3767368341482236,2.5033030830090865
0,N4SID-Joint,5,0.11800948163510633,0.20786247967521249,0.45591937848177994,0.44120213565568006,2.5158958329993766
0,N4SID-Frozen,5,0.12692289238487997,0.403808953750816,0.635459639749698,0.6149467721994629,2.529702500003623
0,Random,6,0.613257723959581,1.1209544182681408,1.0587513486499749,1.0245744712765446,2.9990443749993574
0,N4SID-Joint,6,0.1335541862813854,0.2528431495311794,0.5028351116729811,0.4866034119706706,3.0129113330040127
0,N4SID-Frozen,6,0.14489148858453646,0.32517703206592663,0.5702429588043386,0.5518353093586319,3.0254120829922613
0,Random,7,0.4524306125873387,0.9558003143526751,0.9776504049775028,0.9460914954681019,3.4944879169925116
0,N4SID-Joint,7,0.17255305815794364,0.24740635902621064,0.4973995969300846,0.4813433576142627,3.508392042014748
0,N4SID-Frozen,7,0.13761175350387925,0.44235247780193704,0.665095841064983,0.6436263061920018,3.5209663750138134
0,Random,8,0.3899132859307399,0.8575730497309145,0.9260524011798222,0.8961590939393165,3.993492875015363
0,N4SID-Joint,8,0.12478431443257776,0.19102250502012316,0.437061214271094,0.4229527198225414,4.007311791996472
0,N4SID-Frozen,8,0.1004370398008454,0.24890720652074738,0.498906009705984,0.48280114283962217,4.019699083000887
0,Random,9,0.24991513856226671,0.9082344955313029,0.9530133763653598,0.9222497590714508,4.48539170800359
0,N4SID-Joint,9,0.10005728463590498,0.25399475370302793,0.5039789218836715,0.48771029957308376,4.498231167002814
0,N4SID-Frozen,9,0.1235309798428704,0.1879107093365827,0.43348668876516,0.419493581295845,4.51074866700219
0,Random,10,0.17961200183513826,0.5851050567929428,0.7649216017298393,0.7402296551118317,4.97965579200536
0,N4SID-Joint,10,0.07173783872343782,0.14358247750093778,0.37892278567135257,0.36669102077546684,4.993470582994632
0,N4SID-Frozen,10,0.0887411305271551,0.20823063086695853,0.45632294580369126,0.4415926756781311,5.005860708013643
0,Random,11,0.12068222347633165,0.4740276877127978,0.6884966867841833,0.6662717641276593,5.474167125008535
0,N4SID-Joint,11,0.06738406250309524,0.16794075060622904,0.4098057474050712,0.39657706930813263,5.488269374996889
0,N4SID-Frozen,11,0.09368205157447175,0.16464864834790208,0.40576920576591574,0.3926708286964942,5.500880125007825
0,Random,12,0.08739386509934934,0.1235935761879664,0.3515587805587657,0.34021033566844244,5.964513500017347
0,N4SID-Joint,12,0.046737683420028216,0.11968711449020114,0.34595825541559366,0.33479059750730267,5.978127750015119
0,N4SID-Frozen,12,0.08086843405430652,0.1271540587790821,0.3565866777924858,0.34507593055664754,5.990419917012332
0,Random,13,0.21643153924100014,0.4365471295254374,0.6607171327621506,0.6393889441806389,6.453485250007361
0,N4SID-Joint,13,0.041531745171248274,0.1371426614584946,0.37032777570484043,0.3583734608467029,6.466321832995163
0,N4SID-Frozen,13,0.08911337213418917,0.18828720223479353,0.43392073266299863,0.41991361409930344,6.4789036250149366
0,Random,14,0.19310604209710924,0.2658879393713167,0.5156432287651189,0.49899807839962795,6.946356500004185
0,N4SID-Joint,14,0.03476435901621749,0.15001627821020647,0.38731934912963806,0.37481654012123433,6.958752458012896
0,N4SID-Frozen,14,0.06611237739723266,0.16254929270220114,0.40317402285142473,0.3901594192273389,6.97158870799467
0,Random,15,0.13480433062706088,0.27585444131417963,0.5252184700809556,0.5082642274543878,7.471327042003395
0,N4SID-Joint,15,0.03733729798785665,0.14939106674496808,0.3865114057113555,0.3740346774094052,7.483981249999488
0,N4SID-Frozen,15,0.05576690209559683,0.19416200900686875,0.44063818378219194,0.4264142234610289,7.496651624998776
0,Random,16,0.14794942880532236,0.203476025248191,0.4510831688815168,0.43652204065462963,7.962738542002626
0,N4SID-Joint,16,0.03566566951398012,0.14219561620347243,0.37708834005239733,0.36491579172615013,7.975264167005662
0,N4SID-Frozen,16,0.06153991992113627,0.23043314499972473,0.48003452479975306,0.46453883630781995,7.987826041993685
0,Random,17,0.1168953473996707,0.3783993724351135,0.6151417498716157,0.5952847511726794,8.452645500015933
0,N4SID-Joint,17,0.0381651977021191,0.16088028953037278,0.40109885256676164,0.38815123619179553,8.465389416989638
