training_horizon,seed,model,prediction_step,rmse,nrmse,nrmse_percent
5,0,ResDyNet,1,0.007149830075192932,0.007272497284667343,0.7272497284667343
5,0,ResDyNet,2,0.006135753747602286,0.006244460553954953,0.6244460553954952
5,0,ResDyNet,3,0.005599060670624986,0.0057012609036826215,0.5701260903682621
5,0,ResDyNet,4,0.005423914331140987,0.005524884566763353,0.5524884566763354
5,0,ResDyNet,5,0.005493339139683448,0.005596697470209478,0.5596697470209477
5,0,ResDyNet,6,0.006394783926887514,0.006515560731128949,0.6515560731128949
5,0,ResDyNet,7,0.007766010222757878,0.007912590779399707,0.7912590779399707
5,0,ResDyNet,8,0.009021202617138102,0.00919111004621209,0.9191110046212091
5,0,ResDyNet,9,0.009971133800031692,0.010158587244018889,1.0158587244018888
5,0,ResDyNet,10,0.010684229554003262,0.010884961169289565,1.0884961169289566
5,0,ResDyNet,11,0.011159251639296507,0.011369124218379366,1.1369124218379365
5,0,ResDyNet,12,0.011477303346669288,0.011694149930254142,1.169414993025414
5,0,ResDyNet,13,0.011694385700947385,0.011917128659116417,1.1917128659116416
5,0,ResDyNet,14,0.011860613437575876,0.012088691553026835,1.2088691553026834
5,0,ResDyNet,15,0.01198294806867701,0.012215479770849854,1.2215479770849853
5,0,ResDyNet,16,0.012079253468526653,0.012315331913494716,1.2315331913494716
5,0,ResDyNet,17,0.012157448316881156,0.012396499056357717,1.2396499056357717
5,0,ResDyNet,18,0.012230835245434118,0.012472906125032447,1.2472906125032446
5,0,ResDyNet,19,0.01229960295172273,0.012544774534592002,1.2544774534592003
5,0,ResDyNet,20,0.012365352155918071,0.012613662467060612,1.2613662467060613
5,0,ResDyNet,21,0.012424186668896164,0.012675489159956688,1.267548915995669
5,0,ResDyNet,22,0.012465011520294179,0.012718749416972671,1.271874941697267
5,0,ResDyNet,23,0.012499674340945649,0.012756895113736101,1.2756895113736102
5,0,ResDyNet,24,0.012504360785269272,0.012768013775226277,1.276801377522628
5,0,ResDyNet,25,0.012518940789288084,0.012792634019691898,1.27926340196919
5,0,ResDyNet,26,0.012519828316433074,0.012805589675116743,1.2805589675116744
5,0,ResDyNet,27,0.012513915703680139,0.012812582950365532,1.2812582950365532
5,0,ResDyNet,28,0.012525000243070414,0.012832699709039927,1.2832699709039928
5,0,ResDyNet,29,0.012536851647906409,0.012849672700602038,1.2849672700602037
5,0,ResDyNet,30,0.012547230206876125,0.01286232851443803,1.2862328514438028
5,0,ResDyNet,31,0.01255703059818521,0.012872435888677543,1.2872435888677543
5,0,ResDyNet,32,0.012563572685776889,0.01287730016380001,1.287730016380001
5,0,ResDyNet,33,0.012568374518490084,0.012878828795766668,1.2878828795766668
5,0,ResDyNet,34,0.012572383065402225,0.012878437228031916,1.2878437228031916
5,0,ResDyNet,35,0.01257288801129506,0.012873330406291631,1.2873330406291632
5,0,ResDyNet,36,0.012571439004478435,0.012864977571278701,1.28649775712787
5,0,ResDyNet,37,0.01257581571700734,0.01286168846803108,1.286168846803108
5,0,ResDyNet,38,0.012577110024089695,0.012852526772599876,1.2852526772599877
5,0,ResDyNet,39,0.012569103315786872,0.012830819224151765,1.2830819224151764
5,0,ResDyNet,40,0.012565376628058872,0.01281169508590272,1.2811695085902721
5,0,ResDyNet,41,0.012573544177022965,0.012804188153240118,1.2804188153240117
5,0,ResDyNet,42,0.012585946517790134,0.012802628967121405,1.2802628967121406
5,0,ResDyNet,43,0.012597831756483562,0.012803865739224917,1.2803865739224916
5,0,ResDyNet,44,0.012603260436440302,0.012801754766690578,1.2801754766690576
5,0,ResDyNet,45,0.01261097155229941,0.012804526639772688,1.2804526639772689
5,0,ResDyNet,46,0.012620234427140107,0.012810770597676916,1.2810770597676915
5,0,ResDyNet,47,0.01263548243359203,0.01282603176293971,1.282603176293971
5,0,ResDyNet,48,0.012669726951550055,0.012861974048587686,1.2861974048587685
5,0,ResDyNet,49,0.01267319415696475,0.01286450829949051,1.2864508299490511
5,0,ResDyNet,50,0.012673680511523061,0.012860072262780135,1.2860072262780136
5,0,ResDyNet,51,0.012676550885599075,0.012853683213143372,1.2853683213143372
5,0,ResDyNet,52,0.012677115417674127,0.012845932060280292,1.2845932060280292
5,0,ResDyNet,53,0.01267921527893615,0.012842359021135773,1.2842359021135774
5,0,ResDyNet,54,0.012682136002337445,0.012841847479759564,1.2841847479759565
5,0,ResDyNet,55,0.012685436463933109,0.012843354430359458,1.2843354430359457
5,0,ResDyNet,56,0.012689165467789578,0.01284642462370533,1.2846424623705333
5,0,ResDyNet,57,0.012693062922297473,0.012850549504401575,1.2850549504401576
5,0,ResDyNet,58,0.012695750941244206,0.012854182313543445,1.2854182313543445
5,0,ResDyNet,59,0.01269808833674285,0.012858012437590794,1.2858012437590793
5,0,ResDyNet,60,0.012699898013231606,0.012861611874332185,1.2861611874332184
5,0,ResDyNet,61,0.012701721785994014,0.01286528941418445,1.286528941418445
5,0,ResDyNet,62,0.012701156136748985,0.01286666594862287,1.286666594862287
5,0,ResDyNet,63,0.012701226100095574,0.012869528243256326,1.2869528243256325
