method,num_seeds,best_val_nrmse_mean,best_val_nrmse_std,best_epoch_mean,best_epoch_std,time_to_best_sec_mean,time_to_best_sec_std,final_test_nrmse_mean,final_test_nrmse_std
n4sid_init,1,0.09570814385347721,0.0,0.0,0.0,1.0747439160186332,0.0,0.20377835301724326,0.0
random_init,1,1.0225453048111948,0.0,1.0,0.0,2.128736167011084,0.0,1.021584242593466,0.0
