method,seed,epoch,training_loss,validation_loss,validation_nrmse,wall_time_sec
n4sid_init,0,0,nan,0.005931091166847131,0.09570814385347721,1.0747439160186332
n4sid_init,0,1,0.20415853650774807,0.07522106950196031,0.3408406170960046,2.2512455410033
n4sid_init,0,2,0.02075352077372372,0.053337590775988056,0.2870108324512757,3.3730007080012
random_init,0,0,nan,0.731215802115294,1.062684566482177,1.0414377500128467
random_init,0,1,0.19943877682089806,0.6770206720168188,1.0225453048111948,2.128736167011084
random_init,0,2,0.13099196180701256,0.6906623510583075,1.0327958473122796,3.215036334004253
