epoch,val_nrmse,wall_time_sec
0,0.15526834451965976,0.21814341700519435
1,0.053844946444820664,3.099306499992963
2,0.037509208974342866,5.981106624996755
3,0.024588562071278082,8.811016291991109
4,0.01956126023544201,11.709461624996038
5,0.021032229223233084,14.589999249990797
6,0.017581834727023134,17.44713495898759
7,0.015610297899800228,20.255090999999084
8,0.01362527803607319,23.10704091700609
9,0.012065437190734633,25.957138792000478
10,0.014633966055159505,28.80204395900364
11,0.010735110823187956,32.120331791986246
12,0.019403892455711034,35.066587084002094
13,0.010727323495012292,37.977045499981614
14,0.009463658124597794,40.794751124980394
15,0.013364070646842278,43.643187167006545
16,0.013746534548003954,46.56907987498562
17,0.011737609475511859,49.451043958979426
18,0.009068407208237905,52.24225504198694
19,0.01113921746335879,55.06215954199433
20,0.00966820713948023,57.852671458997065
21,0.009125216294128628,60.64574375000666
22,0.008936928295699295,63.46866529199178
23,0.011691193137504234,66.28111124999123
24,0.007382687749149962,69.09060170900193
25,0.011155960770734212,71.89696045898017
26,0.0085004108085757,74.69230316698668
27,0.006213829208224327,77.49581879199832
28,0.012114110782838234,80.30736641699332
29,0.0066196860196033325,83.1071981669811
30,0.007609591440836449,85.9018653749954
31,0.007078773017218415,88.70569054200314
32,0.006781705470251912,91.50735208397964
33,0.007151301582876737,94.30271629200433
34,0.005410931946167849,97.10767520900117
35,0.006003946797171618,99.93375520900008
36,0.006097452608305671,102.72526262499741
37,0.015353377174891273,105.52102379198186
38,0.010632479454515734,108.3408256249968
39,0.00935362433705914,111.14998695900431
40,0.004997851168784273,113.9475824169931
41,0.007236543180045057,116.75515324997832
42,0.00668939995306264,119.55189341699588
43,0.0065057828137955465,122.34227341698715
44,0.00935999112901423,125.13444262498524
45,0.005366435972926514,127.93100191699341
46,0.0072386977106485995,130.72495612499188
47,0.005900385186225265,133.58895612499327
48,0.007663660317045365,136.4281007089885
49,0.004531921869867047,139.25010924998787
50,0.010920951985613951,142.07769145898055
51,0.004611318709261211,144.86960199999157
52,0.01277712977792905,147.6611559999874
53,0.0068984207697734895,150.456592292001
54,0.003841875015038245,153.25560120900627
55,0.0052257739706373435,156.0666480420041
56,0.006546376389790376,158.85981937497854
57,0.0042429938587157726,161.65639133399236
58,0.0057273502859790425,164.4542817499896
59,0.007017623682183258,167.2489371249976
60,0.00789308938321842,170.0462582919863
61,0.004066673745853914,172.8534282920009
62,0.0206476014980511,175.680101542006
63,0.0038315858722905347,178.5186269590049
64,0.0036043731107556097,181.38913770898944
65,0.0039574588754241,184.23837170898332
66,0.006281060353494053,187.0658758750069
67,0.004204524266718499,189.9212752500025
68,0.004081853645418673,192.7315226669889
69,0.00496533465819887,195.5737872919999
70,0.011085453782081584,198.40379924999434
71,0.003910633160387024,201.20445074999589
72,0.008109016654266981,204.00719324999955
73,0.003415416230089998,206.8099990839837
74,0.004963974625712901,209.62950062498567
75,0.00404669574386543,212.42228166697896
76,0.006632885058745937,215.23204308399
77,0.003906841784326534,218.05744829200557
78,0.00411396645681652,220.85572699998738
79,0.0038465878565875308,223.67256991699105
80,0.0033141780090222375,226.49594170899945
