profile,seed,epoch,train_loss,validation_loss,validation_rmse,validation_nrmse,wall_time_sec
uniform,0,0,nan,0.003379586115647843,0.058134207716309796,0.07224592481533104,0.36228929201024584
uniform,0,1,0.023773754421045724,0.002408803604095138,0.04907956418522387,0.060993322922677576,9.893204625026556
uniform,0,2,0.004107730175517757,0.0015871012093304215,0.03983843897545414,0.04950897208449152,19.396341959014535
uniform,0,3,0.0023557823415146276,0.0020318461369645763,0.04507600420189094,0.05601792367132782,28.75162783401902
uniform,0,4,0.0017313092737427308,0.0004127762776436603,0.020316896290857988,0.02524869641421815,38.22035041701747
uniform,0,5,0.0009999890814638107,0.00042698501876923454,0.02066361581483289,0.0256795799446747,47.50503412500257
uniform,0,6,0.0008925021928625526,0.0017131342130410092,0.04139002575275793,0.051437196894995006,56.76085991700529
uniform,0,7,0.0007281236410339035,0.0005740763519552636,0.023959890598573338,0.0297760049163351,65.99525633401936
uniform,0,8,0.0006066636904791297,0.00046234318642015794,0.021502167116508937,0.02672168435573541,75.23708004201762
uniform,0,9,0.0007976842084652524,0.0002175531029310893,0.014749681405135516,0.018330074765025947,84.45237641700078
uniform,0,10,0.0006653929022160769,0.0004898718478597722,0.022133048755953774,0.027505708586582838,93.73003816700657
uniform,0,11,0.0004998680673420722,0.0006962584700313494,0.02638671011616828,0.03279191976743495,103.02138870902127
uniform,0,12,0.0005964454629146741,0.0014849235922402549,0.03853470628673198,0.04788876639994265,112.27076908401796
uniform,0,13,0.0005094008118228681,0.0006219308123076773,0.024938540766244407,0.03099221632114348,121.50447637500474
uniform,0,14,0.0004472321700229796,0.00023349882547541194,0.015280668321900528,0.018989955451002283,130.73410229201545
uniform,0,15,0.0003922921471821801,0.0002723692369983554,0.01650361285884034,0.02050976216274467,140.11841445902246
uniform,0,16,0.0006182730374420719,0.0007671137588218246,0.02769681854755209,0.03442004886649432,149.52700795902638
uniform,0,17,0.0006578554607849013,0.00021113715839807926,0.014530559490299919,0.018057762369166758,158.95010237500537
uniform,0,18,0.0004757182764745206,0.00016697539745678746,0.01292189610097301,0.016058605954313243,168.46897725001327
uniform,0,19,0.0004949944727712053,0.00024424686027019296,0.015628399291827706,0.019422095949620844,178.05105754200486
uniform,0,20,0.00034159548402188603,0.00018840869015166245,0.013726204490241211,0.017058155199105102,187.19355745901703
uniform,0,21,0.0005035961718874779,0.00040227177432518746,0.02005671389813823,0.02492535636502658,196.4963924170006
uniform,0,22,0.00033069648511690824,0.00023340920721667374,0.015277735649439721,0.01898631089055441,205.83685658400645
uniform,0,23,0.0005788483977947726,0.0003887395349144437,0.019716478731613224,0.024502531229432602,215.03872229202534
uniform,0,24,0.0006131310580010769,0.0004350118559852255,0.020856937843208367,0.02591982969221265,224.51566745902528
uniform,0,25,0.0002626807456010277,0.00018008795458084197,0.013419685344375376,0.016677230438338648,233.80436062501394
uniform,0,26,0.0004390785773184247,0.0002624920356088939,0.016201605823105546,0.02013444479876044,242.8842797090183
uniform,0,27,0.0003096123260937388,0.00022380786582575196,0.014960209414476337,0.018591707138319494,251.9789136670006
uniform,0,28,0.0005542842134953515,0.00018933449444631135,0.013759887145707032,0.017100014109546254,261.66886245901696
uniform,0,29,0.0002924809574988875,0.00022427986624538534,0.014975976235199844,0.01861130125664181,271.33887354200124
uniform,0,30,0.0004597031206579165,0.00014776416634848004,0.012155828488768719,0.015106580197209065,280.79327962500975
uniform,0,31,0.00023476460443060818,0.00017938088761673522,0.013393315039054849,0.016644458905528896,290.06205300000147
uniform,0,32,0.0004893302527872892,0.00024105671837385234,0.015526001434114934,0.019294841649266935,299.13687875002506
uniform,0,33,0.0002870086043681788,0.00024069824850178427,0.015514452849063824,0.019280489717072427,308.59077587502543
uniform,0,34,0.00031359444350243746,0.000221223133769614,0.014873571688597804,0.01848403864371239,317.9206473340164
uniform,0,35,0.000291545823847098,0.00017237701580071987,0.013129242856100584,0.01631628484373323,327.1959729170194
uniform,0,36,0.00042942845395987965,0.0004306831154932103,0.020752906156218626,0.02579054496069365,336.76353562501026
uniform,0,37,0.0003783378944485601,0.00020161843716740984,0.014199240748673429,0.017646018065120072,345.90016308400664
uniform,0,38,0.0003739241820978572,0.0001875324036156286,0.013694247043874976,0.017018440281534854,355.14214337500744
uniform,0,39,0.00025050703761675966,0.0001914328393739335,0.01383592569190199,0.017194510539570308,364.8005139590241
uniform,0,40,0.0005527636469246352,0.00036236981451629195,0.019036013519446265,0.023656887322190186,374.24567929201294
short_term,0,0,nan,0.0003993166583173179,0.058134207716309796,0.07224592481533104,0.3582230830215849
short_term,0,1,0.00339549863822823,0.0002749369639811877,0.06798603434746599,0.08448922104397304,9.686243833013577
short_term,0,2,0.00040611677831223697,0.00016363486164295947,0.03359899882871695,0.04175494667606635,18.998553958022967
short_term,0,3,0.00028600068000661743,0.0001393321502595433,0.021168231503407214,0.02630668795095014,28.64906570801395
short_term,0,4,0.00018054599402488237,0.00012769973033375357,0.01984166904788236,0.024658110715798424,37.84826970801805
short_term,0,5,0.00020673906273133648,0.00018588363866716998,0.0351225564811699,0.043648338466113185,47.38304075002088
short_term,0,6,0.0002210869818591072,0.00012913107347875777,0.024102113081662175,0.029952751022008835,56.69109958302579
short_term,0,7,0.00016304344917585244,0.0001475106587898585,0.023257909552019045,0.028903622339821196,65.70887741600745
short_term,0,8,0.00019057044806197263,0.00011931977837401451,0.01649111688988782,0.020494232875103147,75.28961629100377
short_term,0,9,0.00018383159267537663,0.00013059883403134827,0.023288592272011615,0.0289417530991244,84.40504458302166
short_term,0,10,0.00020484053640727374,0.00011718297498094437,0.016127434149117773,0.020042268412552557,93.85547300000326
short_term,0,11,0.00016226079241123283,0.00013289710907812992,0.023869256873946938,0.029663370419154962,103.86714658301207
short_term,0,12,0.00015921551693240128,0.00012290307896222985,0.01848055909358198,0.022966599791565158,113.5202694160107
short_term,0,13,0.00029976574072947137,0.00019748947327339171,0.07911711533781146,0.09832230266548872,124.0183472080098
short_term,0,14,0.00015310700701929471,0.00012402925585361572,0.0182910526111771,0.02273109179003442,134.6831459160021
short_term,0,15,0.0001541882479859767,0.0001501618202265787,0.04080627561293442,0.05071174504195812,144.6669774580223
short_term,0,16,0.00018452629996689983,0.00011873654140873994,0.01904864646711815,0.02367258683928265,154.58923633300583
short_term,0,17,0.0001561025363837977,0.00014054855454349128,0.024063379833356,0.029904615518749948,165.90403879102087
short_term,0,18,0.0001449865935539182,0.00012684358421424644,0.01664092442168308,0.020680405252847863,177.01051166601246
short_term,0,19,0.0001713697484522644,0.00011639763041940379,0.014806015954739104,0.018400084175922666,186.70933325000806
short_term,0,20,0.00016904840822494442,0.0001250656455129688,0.019409772533945158,0.024121374011203126,196.6334565000143
