profile,seed,best_validation_nrmse,best_epoch,test_rmse,test_nrmse,early_horizon_nrmse,middle_horizon_nrmse,late_horizon_nrmse,full_horizon_mean_nrmse,training_time_sec,checkpoint
uniform,0,0.015106580197209065,30,0.013157664392334944,0.014164311142316333,0.013004038799708954,0.013629670258350102,0.015762210233667334,0.014099368354513624,374.9444481670216,results/duffing_gamma_ablation/checkpoints/uniform_seed_0_best.pt
short_term,0,0.016745264936871788,26,0.01485011568145966,0.01598624594302018,0.01205939314064283,0.014657813013476285,0.02024120458780114,0.015561035560496865,363.4412717910018,results/duffing_gamma_ablation/checkpoints/short_term_seed_0_best.pt
long_term,0,0.07224592481533104,0,0.16895637940128985,0.18188263934693885,0.06915533177390125,0.15865831552688875,0.2629351085384294,0.16159587481456597,118.47383550001541,results/duffing_gamma_ablation/checkpoints/long_term_seed_0_best.pt
uniform,1,0.014965845805927679,38,0.013126428087071448,0.014130685056903616,0.012523519871433025,0.013909318130856286,0.01584224587066596,0.014056683599391473,396.6591018750041,results/duffing_gamma_ablation/checkpoints/uniform_seed_1_best.pt
short_term,1,0.017280619204291373,23,0.016930784921557366,0.018226099888387522,0.01237334825256329,0.015334700212896728,0.02464923585115066,0.01730849195062462,332.9975499580032,results/duffing_gamma_ablation/checkpoints/short_term_seed_1_best.pt
long_term,1,0.07224592481533104,0,0.16895637940128985,0.18188263934693885,0.06915533177390125,0.15865831552688875,0.2629351085384294,0.16159587481456597,108.20584224999766,results/duffing_gamma_ablation/checkpoints/long_term_seed_1_best.pt
