seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-ResidualEvolver,0,0,0.0,0.5877139302058413
0,ResDyNet-ResidualEvolver,1,12,0.2935169580159709,0.9186698193262945
0,ResDyNet-ResidualEvolver,2,24,0.5742533750017174,0.7162761143135725
0,ResDyNet-ResidualEvolver,3,36,0.856195291999029,0.4598327766421824
0,ResDyNet-ResidualEvolver,4,48,1.1365776669990737,0.3580260366954603
0,ResDyNet-ResidualEvolver,5,60,1.4163767920108512,0.3010606861627995
0,ResDyNet-ResidualEvolver,6,72,1.6968222499999683,0.37140882374895773
0,ResDyNet-ResidualEvolver,7,84,1.9758571670099627,0.4458306668560704
0,ResDyNet-ResidualEvolver,8,96,2.25450708300923,0.361536621318125
0,ResDyNet-ResidualEvolver,9,108,2.533809749991633,0.4160716884370202
0,ResDyNet-ResidualEvolver,10,120,2.8128608750121202,0.4547257077608935
0,ResDyNet-ResidualEvolver,11,132,3.0916580420162063,0.4240562496014165
0,ResDyNet-ResidualEvolver,12,144,3.3700832500180695,0.4177065484385713
0,ResDyNet-ResidualEvolver,13,156,3.6487818750028964,0.44102423521366413
0,ResDyNet-ResidualEvolver,14,168,3.928994000016246,0.44122263562239716
0,ResDyNet-ResidualEvolver,15,180,4.209280042006867,0.5198991233785151
0,ResDyNet-ResidualEvolver,16,192,4.488313957990613,0.4090954649973012
0,ResDyNet-ResidualEvolver,17,204,4.78440687499824,0.4284246685787987
0,ResDyNet-ResidualEvolver,18,216,5.062410707992967,0.38605353565890843
0,ResDyNet-ResidualEvolver,19,228,5.356987000006484,0.45743042530527733
0,ResDyNet-ResidualEvolver,20,240,5.635080542007927,0.40160308470206907
0,ResDyNet-ResidualEvolver,21,252,5.9130010420049075,0.4526390533712481
0,ResDyNet-ResidualEvolver,22,264,6.191028542001732,0.4172689083072594
0,ResDyNet-ResidualEvolver,23,276,6.468135000002803,0.38640341924209765
0,ResDyNet-ResidualEvolver,24,288,6.753342667012475,0.4032108656415855
0,ResDyNet-ResidualEvolver,25,300,7.039233874995261,0.41400420270283983
0,ResDyNet-ResidualEvolver,26,312,7.321495792013593,0.3514030337778512
0,ResDyNet-ResidualEvolver,27,324,7.604930208006408,0.31885338881562825
0,ResDyNet-ResidualEvolver,28,336,7.893133542005671,0.3123980202414077
0,ResDyNet-ResidualEvolver,29,348,8.182864125003107,0.33614311945237413
0,ResDyNet-ResidualEvolver,30,360,8.469020832999377,0.42902862045661766
0,ResDyNet-ResidualEvolver,31,372,8.749416125006974,0.35060923546852363
0,ResDyNet-ResidualEvolver,32,384,9.026631375018042,0.31290540414368595
0,ResDyNet-ResidualEvolver,33,396,9.30447837500833,0.37580135297981887
0,ResDyNet-ResidualEvolver,34,408,9.581654917012202,0.370122374996527
0,ResDyNet-ResidualEvolver,35,420,9.858870208001463,0.354896979675393
0,ResDyNet-ResidualEvolver,36,432,10.136280458013061,0.36157051383730887
0,ResDyNet-ResidualEvolver,37,444,10.414129917015089,0.31455015453908763
0,ResDyNet-ResidualEvolver,38,456,10.691955707996385,0.41974879480784355
0,ResDyNet-ResidualEvolver,39,468,10.968299333006144,0.41792388276221154
0,ResDyNet-ResidualEvolver,40,480,11.245734666998032,0.3497394515180822
0,ResDyNet-ResidualEvolver,41,492,11.520985000010114,0.3099572249343596
0,ResDyNet-ResidualEvolver,42,504,11.799479708017316,0.38770529818006755
0,ResDyNet-ResidualEvolver,43,516,12.077916583017213,0.3316428257817913
0,ResDyNet-ResidualEvolver,44,528,12.356369624991203,0.3614328180774833
0,ResDyNet-ResidualEvolver,45,540,12.633065375004662,0.35175281081348436
0,ResDyNet-ResidualEvolver,46,552,12.910690999997314,0.31978874619380343
0,ResDyNet-ResidualEvolver,47,564,13.187471832992742,0.3585701986206488
0,ResDyNet-ResidualEvolver,48,576,13.465037332993234,0.3024584739567712
0,ResDyNet-ResidualEvolver,49,588,13.741999874997418,0.30381649221070584
0,ResDyNet-ResidualEvolver,50,600,14.018780500016874,0.35235365164469606
0,ResDyNet-ResidualEvolver,51,612,14.296023792005144,0.2748829407689816
0,ResDyNet-ResidualEvolver,52,624,14.572943542007124,0.33910501280008765
0,ResDyNet-ResidualEvolver,53,636,14.850040707999142,0.30189238639461335
0,ResDyNet-ResidualEvolver,54,648,15.126318791997619,0.3612275934661476
0,ResDyNet-ResidualEvolver,55,660,15.403301750018727,0.292261588433172
0,ResDyNet-ResidualEvolver,56,672,15.680198457994265,0.309832809383072
0,ResDyNet-ResidualEvolver,57,684,15.957616833009524,0.31644160570322244
0,ResDyNet-ResidualEvolver,58,696,16.235022667009616,0.3153545374369722
0,ResDyNet-ResidualEvolver,59,708,16.511445208016085,0.3591355975800396
0,ResDyNet-ResidualEvolver,60,720,16.787848208012292,0.30287306929476415
0,ResDyNet-MLPEvolver,0,0,0.0,0.5877139302058413
0,ResDyNet-MLPEvolver,1,12,0.17345216701505706,0.5531093991226173
0,ResDyNet-MLPEvolver,2,24,0.3472747500054538,0.5752157733623461
0,ResDyNet-MLPEvolver,3,36,0.519938125013141,0.6803484876395817
0,ResDyNet-MLPEvolver,4,48,0.6933283339894842,0.4084238566953576
0,ResDyNet-MLPEvolver,5,60,0.8671378750004806,0.46531720691744205
0,ResDyNet-MLPEvolver,6,72,1.0393895840097684,0.4418179599063767
0,ResDyNet-MLPEvolver,7,84,1.2114743750134949,0.4237179739474314
0,ResDyNet-MLPEvolver,8,96,1.384900542005198,0.40549843701705807
0,ResDyNet-MLPEvolver,9,108,1.5579136669985019,0.403005928059615
0,ResDyNet-MLPEvolver,10,120,1.729858917009551,0.3956454989824431
0,ResDyNet-MLPEvolver,11,132,1.9031554590037558,0.44686152455844147
0,ResDyNet-MLPEvolver,12,144,2.075137250008993,0.4032439901584913
0,ResDyNet-MLPEvolver,13,156,2.247583416989073,0.4392302237619756
0,ResDyNet-MLPEvolver,14,168,2.4207069590047467,0.3825947875466886
0,ResDyNet-MLPEvolver,15,180,2.5936728340166155,0.33789088639421566
0,ResDyNet-MLPEvolver,16,192,2.766628834011499,0.4142105363188655
0,ResDyNet-MLPEvolver,17,204,2.941719666996505,0.441710446041827
0,ResDyNet-MLPEvolver,18,216,3.1154464590072166,0.49722528408213046
