model,nonlinear_parameters,relative_gap,hidden_dims
ResDyNet-ResidualEvolver,10383,0.0,"stream_dim=19, blocks=4, block_hidden=64"
ResDyNet-MLPEvolver,10424,0.003948762400077049,"(93, 93)"
