seed,model,best_val_nrmse,best_val_nrmse_percent,best_epoch,final_val_nrmse,final_val_nrmse_percent,test_nrmse,test_nrmse_percent,max_shared_initial_parameter_difference,copied_shared_initial_parameters,avg_training_time_per_epoch_sec,total_parameters,trainable_parameters,comparison
0,ResDyNet,0.16442877143662696,16.442877143662695,84,0.24414885421273388,24.41488542127339,0.16671956948917407,16.67195694891741,0.0,323,0.1452666579099605,21513,21513,B_parameter_matched
0,Plain,0.6708392852143801,67.08392852143801,98,0.7634497902476912,76.34497902476912,0.4811438831033317,48.114388310333176,0.0,323,0.1452666579099605,21512,21512,B_parameter_matched
1,ResDyNet,0.15984368133606128,15.984368133606127,100,0.15984368133606128,15.984368133606127,0.1244995971708094,12.44995971708094,0.0,323,0.1458273179101525,21513,21513,B_parameter_matched
1,Plain,0.6630582225780451,66.30582225780451,100,0.6630582225780451,66.30582225780451,0.5041203103162462,50.412031031624615,0.0,323,0.1458273179101525,21512,21512,B_parameter_matched
2,ResDyNet,0.19456666261795155,19.456666261795156,72,0.20840852399664964,20.840852399664964,0.15633958784828964,15.633958784828964,0.0,323,0.146418093329994,21513,21513,B_parameter_matched
2,Plain,0.7704489770656868,77.04489770656868,91,0.7995798310434536,79.95798310434536,0.5872195104666957,58.721951046669574,0.0,323,0.146418093329994,21512,21512,B_parameter_matched
3,ResDyNet,0.18595456854597328,18.595456854597327,78,0.21553272940096188,21.55327294009619,0.15361356897153627,15.361356897153627,0.0,323,0.1453172420800547,21513,21513,B_parameter_matched
3,Plain,0.5473674682742794,54.73674682742794,96,0.6305711351700779,63.05711351700779,0.42040709326162246,42.04070932616224,0.0,323,0.1453172420800547,21512,21512,B_parameter_matched
4,ResDyNet,0.16836759729468312,16.836759729468312,91,0.2030756838347591,20.30756838347591,0.10558316096175896,10.558316096175895,0.0,323,0.14663962249993345,21513,21513,B_parameter_matched
4,Plain,0.40054903365100364,40.054903365100365,96,0.4335522343694526,43.35522343694526,0.26572001814477625,26.572001814477623,0.0,323,0.14663962249993345,21512,21512,B_parameter_matched
