seed,method,best_val_nrmse,final_val_nrmse,final_test_nrmse,nonlinear_parameters
0,ResDyNet-ResidualEvolver,0.25347458663932754,0.3237885658082281,0.2421374402748761,10383
0,ResDyNet-MLPEvolver,0.26163772429618637,0.28374812336967264,0.19461384859400352,10424
1,ResDyNet-ResidualEvolver,0.18216555241089907,0.28256365016312585,0.16442000978657098,10383
1,ResDyNet-MLPEvolver,0.22141062053064509,0.2720101730846816,0.19690917389867313,10424
2,ResDyNet-ResidualEvolver,0.23686630783875545,0.28486288244084423,0.18936911839317372,10383
2,ResDyNet-MLPEvolver,0.2564856839985967,0.2996016420438476,0.17061783594731034,10424
