seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-ResidualEvolver,0,0,0.0,0.5877139302058413
0,ResDyNet-ResidualEvolver,1,12,0.3081573749950621,0.9186698193262945
0,ResDyNet-ResidualEvolver,2,24,0.5917394999996759,0.7162761143135725
0,ResDyNet-ResidualEvolver,3,36,0.8720836669963319,0.4598327766421824
0,ResDyNet-ResidualEvolver,4,48,1.1527797500020824,0.3580260366954603
0,ResDyNet-ResidualEvolver,5,60,1.4316255839949008,0.3010606861627995
0,ResDyNet-ResidualEvolver,6,72,1.7114477090071887,0.37140882374895773
0,ResDyNet-ResidualEvolver,7,84,1.9982073339924682,0.4458306668560704
0,ResDyNet-ResidualEvolver,8,96,2.2794596670137253,0.361536621318125
0,ResDyNet-ResidualEvolver,9,108,2.5589367920183577,0.4160716884370202
0,ResDyNet-ResidualEvolver,10,120,2.8391684590023942,0.4547257077608935
0,ResDyNet-ResidualEvolver,11,132,3.1270140419946983,0.4240562496014165
0,ResDyNet-ResidualEvolver,12,144,3.4118536669993773,0.4177065484385713
0,ResDyNet-ResidualEvolver,13,156,3.693547542003216,0.44102423521366413
0,ResDyNet-ResidualEvolver,14,168,3.9781208749918733,0.44122263562239716
0,ResDyNet-ResidualEvolver,15,180,4.259920459007844,0.5198991233785151
0,ResDyNet-ResidualEvolver,16,192,4.5415349999966566,0.4090954649973012
0,ResDyNet-ResidualEvolver,17,204,4.820574084005784,0.4284246685787987
0,ResDyNet-ResidualEvolver,18,216,5.118813917011721,0.38605353565890843
0,ResDyNet-ResidualEvolver,19,228,5.404959917010274,0.45743042530527733
0,ResDyNet-ResidualEvolver,20,240,5.678881250001723,0.40160308470206907
0,ResDyNet-ResidualEvolver,21,252,5.964773125015199,0.4526390533712481
0,ResDyNet-ResidualEvolver,22,264,6.239621917018667,0.4172689083072594
0,ResDyNet-ResidualEvolver,23,276,6.527560250018723,0.38640341924209765
0,ResDyNet-ResidualEvolver,24,288,6.8054112090030685,0.4032108656415855
0,ResDyNet-ResidualEvolver,25,300,7.07795091700973,0.41400420270283983
0,ResDyNet-ResidualEvolver,26,312,7.349640000000363,0.3514030337778512
0,ResDyNet-ResidualEvolver,27,324,7.639682500011986,0.31885338881562825
0,ResDyNet-ResidualEvolver,28,336,7.913194583990844,0.3123980202414077
0,ResDyNet-ResidualEvolver,29,348,8.185447875002865,0.33614311945237413
0,ResDyNet-ResidualEvolver,30,360,8.460198999993736,0.42902862045661766
0,ResDyNet-ResidualEvolver,31,372,8.732420167012606,0.35060923546852363
0,ResDyNet-ResidualEvolver,32,384,9.011549292015843,0.31290540414368595
0,ResDyNet-ResidualEvolver,33,396,9.283396167011233,0.37580135297981887
