horizon_step,uniform,short_term,long_term
1,0.019999999552965164,0.20000284910202026,3.568172587620211e-06
2,0.019999999552965164,0.16000227630138397,4.460215677681845e-06
3,0.019999999552965164,0.12800182402133942,5.57526936972863e-06
4,0.019999999552965164,0.10240145772695541,6.969086825847626e-06
5,0.019999999552965164,0.08192116767168045,8.71135762281483e-06
6,0.019999999552965164,0.06553693860769272,1.0889198165386915e-05
7,0.019999999552965164,0.052429549396038055,1.361149588774424e-05
8,0.019999999552965164,0.041943639516830444,1.701437031442765e-05
9,0.019999999552965164,0.033554911613464355,2.1267962438287213e-05
10,0.019999999552965164,0.026843929663300514,2.658495395735372e-05
11,0.019999999552965164,0.02147514559328556,3.3231190172955394e-05
12,0.019999999552965164,0.01718011684715748,4.153898771619424e-05
13,0.019999999552965164,0.013744093477725983,5.1923736464232206e-05
14,0.019999999552965164,0.010995274409651756,6.490467058029026e-05
15,0.019999999552965164,0.00879621971398592,8.113083458738402e-05
16,0.019999999552965164,0.007036976050585508,0.00010141354141524062
17,0.019999999552965164,0.005629580933600664,0.00012676692858804017
18,0.019999999552965164,0.004503664560616016,0.0001584586570970714
19,0.019999999552965164,0.0036029317416250706,0.00019807330681942403
20,0.019999999552965164,0.0028823455795645714,0.00024759164080023766
21,0.019999999552965164,0.002305876463651657,0.00030948955100029707
22,0.019999999552965164,0.001844701124355197,0.0003868619096465409
23,0.019999999552965164,0.0014757610624656081,0.00048357740161009133
24,0.019999999552965164,0.001180608756840229,0.0006044717156328261
25,0.019999999552965164,0.000944486993830651,0.0007555896881967783
26,0.019999999552965164,0.0007555896881967783,0.000944486993830651
27,0.019999999552965164,0.0006044717156328261,0.001180608756840229
28,0.019999999552965164,0.00048357740161009133,0.0014757610624656081
29,0.019999999552965164,0.0003868619096465409,0.001844701124355197
30,0.019999999552965164,0.00030948955100029707,0.002305876463651657
31,0.019999999552965164,0.00024759164080023766,0.0028823455795645714
32,0.019999999552965164,0.00019807330681942403,0.0036029317416250706
33,0.019999999552965164,0.0001584586570970714,0.004503664560616016
34,0.019999999552965164,0.00012676692858804017,0.005629580933600664
35,0.019999999552965164,0.00010141354141524062,0.007036976050585508
36,0.019999999552965164,8.113083458738402e-05,0.00879621971398592
37,0.019999999552965164,6.490467058029026e-05,0.010995274409651756
38,0.019999999552965164,5.1923736464232206e-05,0.013744093477725983
39,0.019999999552965164,4.153898771619424e-05,0.01718011684715748
40,0.019999999552965164,3.3231190172955394e-05,0.02147514559328556
41,0.019999999552965164,2.658495395735372e-05,0.026843929663300514
42,0.019999999552965164,2.1267962438287213e-05,0.033554911613464355
43,0.019999999552965164,1.701437031442765e-05,0.041943639516830444
44,0.019999999552965164,1.361149588774424e-05,0.052429549396038055
45,0.019999999552965164,1.0889198165386915e-05,0.06553693860769272
46,0.019999999552965164,8.71135762281483e-06,0.08192116767168045
47,0.019999999552965164,6.969086825847626e-06,0.10240145772695541
48,0.019999999552965164,5.57526936972863e-06,0.12800182402133942
49,0.019999999552965164,4.460215677681845e-06,0.16000227630138397
50,0.019999999552965164,3.568172587620211e-06,0.20000284910202026
