profile,num_seeds,best_validation_nrmse_mean,best_validation_nrmse_std,best_epoch_mean,best_epoch_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_nrmse_std,early_horizon_nrmse_mean,early_horizon_nrmse_std,middle_horizon_nrmse_mean,middle_horizon_nrmse_std,late_horizon_nrmse_mean,late_horizon_nrmse_std,full_horizon_mean_nrmse_mean,full_horizon_mean_nrmse_std,training_time_sec_mean,training_time_sec_std
uniform,1,0.14980450871930895,0.0,0.0,0.0,0.22802019184044225,0.0,0.2454652168997553,0.0,0.09519413502120497,0.0,0.21560385280467087,0.0,0.35351861837180365,0.0,0.21879727373977495,0.0,1.9292234999884386,0.0
short_term,1,0.11924488760336664,0.0,1.0,0.0,0.17072745770013273,0.0,0.18378921663407718,0.0,0.07053675038383,0.0,0.15861627638630432,0.0,0.2664576603160482,0.0,0.16317848040298105,0.0,1.8935142919945065,0.0
long_term,1,0.14980450871930895,0.0,0.0,0.0,0.22802019184044225,0.0,0.2454652168997553,0.0,0.09519413502120497,0.0,0.21560385280467087,0.0,0.35351861837180365,0.0,0.21879727373977495,0.0,1.9345053329889197,0.0
