model,num_seeds,trainable_parameters,best_val_nrmse_mean,best_val_nrmse_std,best_epoch_mean,best_epoch_std,final_val_nrmse_mean,final_val_nrmse_std,test_nrmse_mean,test_nrmse_std,avg_training_time_per_epoch_sec_mean,avg_training_time_per_epoch_sec_std,comparison
ResDyNet,1,27273,1.1263934497160195,0.0,0.0,0.0,1.3096146642317605,0.0,1.1569650429614504,0.0,0.35898654149787035,0.0,B_parameter_matched
Plain,1,27276,1.2468310428378764,0.0,0.0,0.0,1.3107177760914759,0.0,1.103995436451469,0.0,0.35898654149787035,0.0,B_parameter_matched
